example_id,seed,task_input_channel,task_target_channel,protocol_id,program_family,duration_s,energy_cost,training_reached_criterion,training_trials,compiled_event_count,stimulus_effect_norm,no_reset_spikes,stimmed_spikes,spike_delta,weight_delta_norm
0,1,8,9,inv_seed1_00000_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,16,250,9685.881540523393,583,240272,239689,52.329788775716324
1,1,8,9,inv_seed1_00001_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
2,1,8,9,inv_seed1_00002_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,16,250,9685.881540523393,583,240272,239689,52.329788775716324
3,1,8,9,inv_seed1_00003_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,16,250,9685.881540523393,583,240272,239689,52.329788775716324
4,1,8,9,inv_seed1_00004_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
5,1,8,9,inv_seed1_00005_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,16,250,9685.881540523393,583,240272,239689,52.329788775716324
6,3,8,9,inv_seed3_00000_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,4,250,7761.102889165962,586,192619,192033,39.22822438260598
7,3,8,9,inv_seed3_00001_rest,rest,0.5,0.0,True,4,0,0.0,586,586,0,0.0
8,3,8,9,inv_seed3_00002_rest,rest,0.5,0.0,True,4,0,0.0,586,586,0,0.0
9,3,8,9,inv_seed3_00003_rest,rest,0.5,0.0,True,4,0,0.0,586,586,0,0.0
10,3,8,9,inv_seed3_00004_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,4,250,7761.102889165962,586,192619,192033,39.22822438260598
11,3,8,9,inv_seed3_00005_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,4,250,7761.102889165962,586,192619,192033,39.22822438260598
12,5,8,9,inv_seed5_00000_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,28,250,12226.594281378973,602,303167,302565,71.67814208542217
13,5,8,9,inv_seed5_00001_rest,rest,0.5,0.0,True,28,0,0.0,602,602,0,0.0
14,5,8,9,inv_seed5_00002_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,28,250,12226.594281378973,602,303167,302565,71.67814208542217
15,5,8,9,inv_seed5_00003_actuator_positive_control,actuator_positive_control,0.5,5.120000000000012,True,28,250,12226.594281378973,602,303167,302565,71.67814208542217
16,5,8,9,inv_seed5_00004_rest,rest,0.5,0.0,True,28,0,0.0,602,602,0,0.0
17,5,8,9,inv_seed5_00005_rest,rest,0.5,0.0,True,28,0,0.0,602,602,0,0.0
