example_id,seed,task_input_channel,task_target_channel,protocol_id,program_family,duration_s,energy_cost,training_reached_criterion,training_trials,compiled_event_count,stimulus_effect_norm,no_reset_spikes,stimmed_spikes,spike_delta,weight_delta_norm
0,1,8,9,inv_seed1_00000_task_input_drive,task_input_drive,0.5,0.3919999999999997,True,16,70,35.35538055738039,583,1091,508,0.5147987484985495
1,1,8,9,inv_seed1_00001_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
2,1,8,9,inv_seed1_00002_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
3,1,8,9,inv_seed1_00003_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
4,1,8,9,inv_seed1_00004_task_input_drive,task_input_drive,0.5,0.12799999999999992,True,16,40,0.0,583,583,0,0.0
5,1,8,9,inv_seed1_00005_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
6,1,8,9,inv_seed1_00006_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
7,1,8,9,inv_seed1_00007_task_input_drive,task_input_drive,0.5,0.1539999999999999,True,16,55,0.0,583,583,0,0.0
8,1,8,9,inv_seed1_00008_task_input_drive,task_input_drive,0.5,0.11199999999999992,True,16,40,0.0,583,583,0,0.0
9,1,8,9,inv_seed1_00009_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
10,1,8,9,inv_seed1_00010_task_input_drive,task_input_drive,0.5,0.7000000000000005,True,16,50,0.0,583,583,0,0.0
11,1,8,9,inv_seed1_00011_task_input_drive,task_input_drive,0.5,0.264,True,16,55,7.166233540630074,583,676,93,0.18104777467276398
12,1,8,9,inv_seed1_00012_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
13,1,8,9,inv_seed1_00013_rest,rest,0.5,0.0,True,16,0,0.0,583,583,0,0.0
14,1,8,9,inv_seed1_00014_task_input_drive,task_input_drive,0.5,0.25199999999999984,True,16,45,5.625822833107033,583,651,68,0.15044475980139593
