seed,weight_condition,feature_view,positive_probe_count,negative_probe_count,probe_names,bin_ms,path_edges,decoder_accuracy,decoder_balanced_accuracy,decoder_splits,decoder_samples,decoder_features
1,naive_full,all_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,640
1,naive_full,pathway_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,20
1,naive_full,rest_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,620
1,trained_full,all_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,640
1,trained_full,pathway_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,20
1,trained_full,rest_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,620
1,pathway_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,640
1,pathway_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,20
1,pathway_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,620
1,rest_of_network_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,640
1,rest_of_network_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,20
1,rest_of_network_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,629,1.0,1.0,5,96,620
3,naive_full,all_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,640
3,naive_full,pathway_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,20
3,naive_full,rest_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,620
3,trained_full,all_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,640
3,trained_full,pathway_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,20
3,trained_full,rest_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,620
3,pathway_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,640
3,pathway_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,20
3,pathway_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,620
3,rest_of_network_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,640
3,rest_of_network_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,20
3,rest_of_network_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,628,1.0,1.0,5,96,620
4,naive_full,all_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,640
4,naive_full,pathway_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,20
4,naive_full,rest_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,620
4,trained_full,all_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,640
4,trained_full,pathway_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,20
4,trained_full,rest_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,620
4,pathway_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,640
4,pathway_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,20
4,pathway_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,620
4,rest_of_network_direction_only,all_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,640
4,rest_of_network_direction_only,pathway_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,20
4,rest_of_network_direction_only,rest_channels,48,48,a_to_b|sham_b,10.0,686,1.0,1.0,5,96,620
