seed,block,condition,replicate,score,task_accuracy,criterion_score,criterion_accuracy,positive_response_probability,negative_response_probability,effective_distance_from_trained,effective_distance_fraction_of_axis,collapsed_by_score,distance_fraction,intended_distance,orthogonal_dot_axis
1,displacement,parallel_erasure_axis,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,6.071532165918825e-18
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,4.597017211338539e-17
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,-8.673617379884035e-18
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,1.734723475976807e-17
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,-2.0816681711721685e-17
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,1.5612511283791264e-17
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,-4.683753385137379e-17
1,displacement,orthogonal_random,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.0,0.0,False,0.0,0.0,-2.42861286636753e-17
1,displacement,parallel_erasure_axis,0,0.4375,0.71875,0.4,0.7,0.4375,0.0,0.5324350018424567,0.019999999999999993,False,0.02,0.532435001842457,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324318879256282,0.019999883031099838,False,0.02,0.532435001842457,2.7755575615628914e-17
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324287402824045,0.019999764795325975,False,0.02,0.532435001842457,-1.431146867680866e-17
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324306688707755,0.019999837239412645,False,0.02,0.532435001842457,0.0
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324293636276377,0.01999978821021159,False,0.02,0.532435001842457,6.938893903907228e-18
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324271333675457,0.019999704434348457,False,0.02,0.532435001842457,5.204170427930421e-18
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324316427006196,0.019999873819646505,False,0.02,0.532435001842457,-2.2551405187698492e-17
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324331419294687,0.01999993013558531,False,0.02,0.532435001842457,2.0816681711721685e-17
1,displacement,orthogonal_random,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,0.5324327415485408,0.019999915095968213,False,0.02,0.532435001842457,1.734723475976807e-17
1,displacement,parallel_erasure_axis,0,0.3125,0.65625,0.4,0.7,0.3125,0.0,1.0648700036849137,0.039999999999999994,True,0.04,1.064870003684914,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648635925679213,0.03999975917747818,False,0.04,1.064870003684914,6.938893903907228e-18
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648638990979828,0.0399997706917498,False,0.04,1.064870003684914,-2.6020852139652106e-17
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648508794187497,0.039999281630016884,False,0.04,1.064870003684914,-1.9949319973733282e-17
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648579257322237,0.03999954631259597,False,0.04,1.064870003684914,-1.0408340855860843e-17
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648596173579248,0.03999960985558977,False,0.04,1.064870003684914,-1.734723475976807e-17
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648637225926723,0.039999764061633074,False,0.04,1.064870003684914,1.0408340855860843e-17
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648571361919301,0.03999951665488034,False,0.04,1.064870003684914,2.42861286636753e-17
1,displacement,orthogonal_random,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.0648584423827734,0.03999956571968032,False,0.04,1.064870003684914,6.938893903907228e-18
1,displacement,parallel_erasure_axis,0,0.3125,0.65625,0.4,0.7,0.3125,0.0,1.3310875046061423,0.05,True,0.05,1.3310875046061423,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310696581694097,0.049999329629469486,False,0.05,1.3310875046061423,-7.806255641895632e-18
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310637089806132,0.049999106158481445,False,0.05,1.3310875046061423,-7.806255641895632e-18
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.331069690659663,0.04999933084990966,False,0.05,1.3310875046061423,3.469446951953614e-18
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310571022907633,0.049998857989603476,False,0.05,1.3310875046061423,1.734723475976807e-18
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310752388711848,0.049999539258879865,False,0.05,1.3310875046061423,-1.9949319973733282e-17
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310753034674825,0.04999954168532807,False,0.05,1.3310875046061423,-6.938893903907228e-18
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.331061935662086,0.04999903954683792,False,0.05,1.3310875046061423,-6.938893903907228e-18
1,displacement,orthogonal_random,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.3310730079498783,0.049999455458179354,False,0.05,1.3310875046061423,4.336808689942018e-18
1,displacement,parallel_erasure_axis,0,0.0625,0.53125,0.4,0.7,0.0625,0.0,1.5973050055273708,0.060000000000000005,True,0.06,1.5973050055273705,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972762173323092,0.059998918621241584,False,0.06,1.5973050055273705,1.0408340855860843e-17
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972751348151464,0.059998877958356574,False,0.06,1.5973050055273705,1.3877787807814457e-17
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972896481639804,0.05999942312720474,False,0.06,1.5973050055273705,-2.7755575615628914e-17
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.597260649270949,0.059998333833941486,False,0.06,1.5973050055273705,-6.938893903907228e-18
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972766062121173,0.05999893322883901,False,0.06,1.5973050055273705,2.0816681711721685e-17
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972734315516939,0.05999881397821077,False,0.06,1.5973050055273705,-1.734723475976807e-18
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972899695307674,0.05999943519879229,False,0.06,1.5973050055273705,1.0408340855860843e-17
1,displacement,orthogonal_random,7,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.5972890526032455,0.05999940075599575,False,0.06,1.5973050055273705,1.0408340855860843e-17
1,displacement,parallel_erasure_axis,0,0.0625,0.53125,0.4,0.7,0.0625,0.0,1.8635225064485994,0.07,True,0.07,1.8635225064485994,
1,displacement,orthogonal_random,0,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.863446426423144,0.06999714218542388,False,0.07,1.8635225064485994,6.938893903907228e-18
1,displacement,orthogonal_random,1,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.8635013341772668,0.06999920470024476,False,0.07,1.8635225064485994,-2.949029909160572e-17
1,displacement,orthogonal_random,2,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.863499836541935,0.06999914844416368,False,0.07,1.8635225064485994,2.2551405187698492e-17
1,displacement,orthogonal_random,3,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.8634802522211018,0.06999841279302257,False,0.07,1.8635225064485994,0.0
1,displacement,orthogonal_random,4,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.8634921209132524,0.06999885861991637,False,0.07,1.8635225064485994,1.3877787807814457e-17
1,displacement,orthogonal_random,5,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.8634851678667652,0.06999859744075033,False,0.07,1.8635225064485994,-1.0408340855860843e-17
1,displacement,orthogonal_random,6,0.5625,0.78125,0.4,0.7,0.5625,0.0,1.8634866989071919,0.06999865495163604,False,0.07,1.8635225064485994,1.1275702593849246e-17
