beta,target_power_slope,estimated_power_slope_mean,estimated_power_slope_std,spatial_mode,event_count,total_pulses,active_channels,mean_pulses_per_active_channel
-2,2.0,1.9987590465907294,0.023424623237410423,shared,235,1426,64,22.28125
-2,2.0,1.9987590465907294,0.023424623237410423,independent,253,253,63,4.015873015873016
-2,2.0,1.9987590465907294,0.023424623237410423,correlated,285,1011,64,15.796875
-2,2.0,1.9987590465907294,0.023424623237410423,phase_shifted,265,1060,64,16.5625
-1,1.0,0.9998216188845542,0.021234434572938797,shared,184,1087,64,16.984375
-1,1.0,0.9998216188845542,0.021234434572938797,independent,233,233,64,3.640625
-1,1.0,0.9998216188845542,0.021234434572938797,correlated,212,743,64,11.609375
-1,1.0,0.9998216188845542,0.021234434572938797,phase_shifted,191,764,64,11.9375
0,-0.0,-0.0010011846453762932,0.0228240795285606,shared,170,988,64,15.4375
0,-0.0,-0.0010011846453762932,0.0228240795285606,independent,181,181,58,3.1206896551724137
0,-0.0,-0.0010011846453762932,0.0228240795285606,correlated,181,631,64,9.859375
0,-0.0,-0.0010011846453762932,0.0228240795285606,phase_shifted,170,680,64,10.625
1,-1.0,-1.0008194300871471,0.029208475877780242,shared,155,912,64,14.25
1,-1.0,-1.0008194300871471,0.029208475877780242,independent,137,137,55,2.4909090909090907
1,-1.0,-1.0008194300871471,0.029208475877780242,correlated,147,514,64,8.03125
1,-1.0,-1.0008194300871471,0.029208475877780242,phase_shifted,140,560,64,8.75
2,-2.0,-1.9924171866404141,0.024348083037339683,shared,127,766,64,11.96875
2,-2.0,-1.9924171866404141,0.024348083037339683,independent,127,127,55,2.309090909090909
2,-2.0,-1.9924171866404141,0.024348083037339683,correlated,126,425,63,6.746031746031746
2,-2.0,-1.9924171866404141,0.024348083037339683,phase_shifted,101,404,64,6.3125
