control_mode,source_protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,pre_behavior,post_behavior,weight_drift_norm,weight_drift_rel_to_baseline,path0,path_post,path_delta,trace_auc_proxy,reset_window_neuron_spikes
no_reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,0,0.375,0.75,61.66215931290616,0.3116694795922676,0.19985415345294624,0.28109064299098807,0.08123648953804183,0.5244584386932305,3594
no_reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,0,0.5,0.5,61.36195189111134,0.3084982381102443,0.20017310195692684,0.2815038037364795,0.08133070177955265,0.5284835974673012,3638
no_reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,0,0.375,0.375,61.733855719858816,0.3118168793462791,0.19725744115455213,0.27750278916768334,0.08024534801313121,0.5360192209097792,3513
reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,0.375,0.75,61.66215931290616,0.3116694795922676,0.19985415345294624,0.28109064299098807,0.08123648953804183,0.5244584386932305,3594
reset,high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,1539,0.5,0.5,61.36195189111134,0.3084982381102443,0.20017310195692684,0.2815038037364795,0.08133070177955265,0.5284835974673012,3638
reset,high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,1439,0.375,0.375,61.733855719858816,0.3118168793462791,0.19725744115455213,0.27750278916768334,0.08024534801313121,0.5360192209097792,3513
no_reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,0.375,0.375,14.466553969898483,0.07312075018994679,0.19985415345294624,0.2189126706247716,0.019058517171825357,0.528969699374477,885
no_reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,0.5,0.5,14.40868595395493,0.07243990931329573,0.20017310195692684,0.2192761125749064,0.01910301061797956,0.5230443073032407,871
no_reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,0,0.375,0.625,14.467615815329525,0.07307573393096406,0.19725744115455213,0.21607578803368563,0.018818346879133502,0.5627519682960935,920
reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,0.375,0.375,14.466553969898483,0.07312075018994679,0.19985415345294624,0.2189126706247716,0.019058517171825357,0.528969699374477,885
reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,13,0.5,0.5,14.40868595395493,0.07243990931329573,0.20017310195692684,0.2192761125749064,0.01910301061797956,0.5230443073032407,871
reset,low_burden_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,20,0.375,0.625,14.467615815329525,0.07307573393096406,0.19725744115455213,0.21607578803368563,0.018818346879133502,0.5627519682960935,920
no_reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,0,0.375,0.625,28.22975446064263,0.14268642194507855,0.19985415345294624,0.23704546094855433,0.03719130749560809,0.5363663951719551,1807
no_reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,0,0.5,0.625,28.117029381954467,0.14135883487897027,0.20017310195692684,0.23743964254795266,0.037266540591025826,0.5298983408034896,1786
no_reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,0,0.375,0.5,28.247351224341493,0.1426769931322962,0.19725744115455213,0.23398844577875344,0.03673100462420131,0.5617680029667049,1785
reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,451,0.375,0.625,28.22975446064263,0.14268642194507855,0.19985415345294624,0.23704546094855433,0.03719130749560809,0.5363663951719551,1807
reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,514,0.5,0.625,28.117029381954467,0.14135883487897027,0.20017310195692684,0.23743964254795266,0.037266540591025826,0.5298983408034896,1786
reset,mid_burden_1.5s,4,0.0,static,shared,1.5,0.8,160,431,0.375,0.5,28.247351224341493,0.1426769931322962,0.19725744115455213,0.23398844577875344,0.03673100462420131,0.5617680029667049,1785
