protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,relearn_trials,weight_erasure,residual_performance,savings,criticality_distance,trace_auc_proxy,health,energy_cost,firing_rate_hz,active_channel_fraction,branching_ratio,path_erasure,residual_trace_correlation,control_mode,source_protocol_id,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes
no_reset_3s,1,-2.0,static,shared,3.0,2.6,160,0,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,0.0,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,no_reset,high_burden_3s,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695
no_reset_3s,3,-2.0,static,shared,3.0,2.6,160,0,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,0.0,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,no_reset,high_burden_3s,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538
no_reset_3s,4,-2.0,static,shared,3.0,2.6,160,0,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,0.0,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,no_reset,high_burden_3s,76.75862005574685,169.63707235656622,92.87913576941123,197.98112228231966,3504
high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,16,16,-3.1772387082042206,0.25,6.250000517127319e-11,0.05425183531361418,0.5399018331295011,0.10058848492177272,1.300416,18.53125,1.0,1.0900890449246883,-3.1770903763161655,0.9999012892645086,reset,high_burden_3s,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695
high_burden_3s,3,-2.0,static,shared,3.0,2.6,160,1539,48,96,-1.2101533788339753,0.75,-0.9999999999583336,0.039521741816360124,0.5284972248114121,0.09890706842918369,1.280448,19.166666666666668,1.0,1.1048119034480641,-1.209915293686611,0.9999836529884484,reset,high_burden_3s,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538
high_burden_3s,4,-2.0,static,shared,3.0,2.6,160,1439,48,64,-1.210006800945031,0.375,-0.3333333333055557,0.03950037577733568,0.5291209903253203,0.09928550623830959,1.1972479999999999,19.020833333333332,1.0,1.0868397390697764,-1.21011318946463,0.9999828555476095,reset,high_burden_3s,76.75862005574685,169.63707235656622,92.87913576941123,197.98112228231966,3504
no_reset_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.0,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,no_reset,low_burden_0.75s,22.18569381061725,38.71659398123074,16.531742720195066,197.84471483464534,923
no_reset_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.0,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,no_reset,low_burden_0.75s,76.30150484186338,97.89527376795385,21.59447325614951,198.90535604574396,914
no_reset_0.75s,4,2.0,epoch_pause,independent,0.75,0.8,160,0,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.0,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,no_reset,low_burden_0.75s,76.75862005574685,98.5334201764126,21.775399777695032,197.98112228231966,827
low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.005888,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,reset,low_burden_0.75s,22.18569381061725,38.71659398123074,16.531742720195066,197.84471483464534,923
