protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,relearn_trials,weight_erasure,residual_performance,savings,criticality_distance,trace_auc_proxy,health,energy_cost,firing_rate_hz,active_channel_fraction,branching_ratio,path_erasure,residual_trace_correlation,job_elapsed_s
b-1_alternating_blue_red_correlated_0.75s_0.8uA,1,-1.0,alternating_blue_red,correlated,0.75,0.8,160,151,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.038655999999999996,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.50505891701323
b-1_alternating_blue_red_correlated_0.75s_0.8uA,3,-1.0,alternating_blue_red,correlated,0.75,0.8,160,129,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.033024,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.98700895800721
b-1_alternating_blue_red_correlated_0.75s_0.8uA,4,-1.0,alternating_blue_red,correlated,0.75,0.8,160,137,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.035072,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,19.169466917024693
b-1_alternating_blue_red_correlated_0.75s_1.6uA,1,-1.0,alternating_blue_red,correlated,0.75,1.6,160,151,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.07731199999999999,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.586867417005124
b-1_alternating_blue_red_correlated_0.75s_1.6uA,3,-1.0,alternating_blue_red,correlated,0.75,1.6,160,129,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.066048,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.819309459009673
b-1_alternating_blue_red_correlated_0.75s_1.6uA,4,-1.0,alternating_blue_red,correlated,0.75,1.6,160,137,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.070144,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,18.932294625003124
b-1_alternating_blue_red_correlated_0.75s_2.6uA,1,-1.0,alternating_blue_red,correlated,0.75,2.6,160,151,16,56,-0.7451153121457621,0.5,-2.49999999978125,0.03528683341290349,0.5255840163211998,0.0976416807532023,0.125632,19.666666666666668,1.0,1.111311642166441,-0.7451323700117405,0.9999428445471674,12.32738858301309
b-1_alternating_blue_red_correlated_0.75s_2.6uA,3,-1.0,alternating_blue_red,correlated,0.75,2.6,160,129,48,96,-0.283005806629385,0.375,-0.9999999999583336,0.04815058963879497,0.5355013260517754,0.10191473021495288,0.10732799999999999,18.052083333333332,1.0,1.1232067857628873,-0.28295140989844847,0.9999929873148385,20.75415166700259
b-1_alternating_blue_red_correlated_0.75s_2.6uA,4,-1.0,alternating_blue_red,correlated,0.75,2.6,160,137,48,80,-0.2836788897920244,0.625,-0.6666666666319445,0.04200739149777501,0.5308772614158093,0.09917693813473065,0.11398399999999999,19.0625,1.0,1.1047642461903167,-0.28366131155995067,0.9999939286387561,18.894789209007286
b-1_alternating_blue_red_correlated_1.5s_0.8uA,1,-1.0,alternating_blue_red,correlated,1.5,0.8,160,279,16,24,-1.4539839688671474,0.75,-0.4999999999062501,0.03851339013275506,0.5283712860878252,0.09950371639383812,0.071424,18.9375,1.0,1.1196747865403196,-1.4540403775603012,0.9999196922190545,9.803391833003843
