probe,condition,protocol_id,seed,duration_s,current_uA,schedule,spatial_mode,initial_trials,initial_response_probability,trained_delta_norm,consolidation_s,consolidation_weight_change_norm,homeostasis_rate,homeostasis_interval_ms,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,path_erasure_reset,path_erasure_no_reset,path_erasure_delta,post_behavior_reset,post_behavior_no_reset,post_behavior_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,post_minus_trained_norm_reset,post_minus_trained_norm_no_reset,post_minus_trained_norm_delta,residual_trace_correlation_reset,residual_trace_correlation_no_reset,residual_trace_correlation_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_reset,post_readout_neuron_spikes_no_reset,post_readout_neuron_spikes_delta
baseline_representatives,criterion_0.875_max120,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-0.7451153121457621,-0.7451153121457621,0.0,-0.7451323700117405,-0.7451323700117405,0.0,0.5,0.5,0.0,38.71659398123074,38.71659398123074,0.0,16.531742720195066,16.531742720195066,0.0,0.9999428445471674,0.9999428445471674,0.0,923,923,0,1888,1888,0
baseline_representatives,criterion_0.875_max120,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-1.4539839688671474,-1.4539839688671474,0.0,-1.4540403775603012,-1.4540403775603012,0.0,0.75,0.75,0.0,54.44333695190381,54.44333695190381,0.0,32.258496258444545,32.258496258444545,0.0,0.9999196922190545,0.9999196922190545,0.0,1877,1877,0,1818,1818,0
baseline_representatives,criterion_0.875_max120,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,22.18569381061725,0.0,0.0,0.012,100.0,-3.1772387082042206,-3.1772387082042206,0.0,-3.1770903763161655,-3.1770903763161655,0.0,0.25,0.25,0.0,92.67493895825442,92.67493895825442,0.0,70.49006199900246,70.49006199900246,0.0,0.9999012892645086,0.9999012892645086,0.0,3695,3695,0,1779,1779,0
baseline_representatives,criterion_0.875_max120,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.283005806629385,-0.283005806629385,0.0,-0.28295140989844847,-0.28295140989844847,0.0,0.375,0.375,0.0,97.89527376795385,97.89527376795385,0.0,21.59447325614951,21.59447325614951,0.0,0.9999929873148385,0.9999929873148385,0.0,914,914,0,1733,1733,0
baseline_representatives,criterion_0.875_max120,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-0.5531200357587513,-0.5531200357587513,0.0,-0.5530099585186998,-0.5530099585186998,0.0,0.625,0.625,0.0,118.5053959299945,118.5053959299945,0.0,42.20455377150628,42.20455377150628,0.0,0.9999893473370773,0.9999893473370773,0.0,1742,1742,0,1796,1796,0
baseline_representatives,criterion_0.875_max120,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,76.30150484186338,0.0,0.0,0.012,100.0,-1.2101533788339753,-1.2101533788339753,0.0,-1.209915293686611,-1.209915293686611,0.0,0.75,0.75,0.0,168.63802873857142,168.63802873857142,0.0,92.33718532616301,92.33718532616301,0.0,0.9999836529884484,0.9999836529884484,0.0,3538,3538,0,1840,1840,0
baseline_representatives,criterion_0.875_max120,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-0.2836788897920244,-0.2836788897920244,0.0,-0.28366131155995067,-0.28366131155995067,0.0,0.625,0.625,0.0,98.5334201764126,98.5334201764126,0.0,21.775399777695032,21.775399777695032,0.0,0.9999939286387561,0.9999939286387561,0.0,827,827,0,1830,1830,0
baseline_representatives,criterion_0.875_max120,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-0.5538771967752436,-0.5538771967752436,0.0,-0.5540067895027045,-0.5540067895027045,0.0,0.625,0.625,0.0,119.27346936211379,119.27346936211379,0.0,42.51551536482054,42.51551536482054,0.0,0.9999891227107404,0.9999891227107404,0.0,1746,1746,0,1758,1758,0
baseline_representatives,criterion_0.875_max120,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,76.75862005574685,0.0,0.0,0.012,100.0,-1.210006800945031,-1.210006800945031,0.0,-1.21011318946463,-1.21011318946463,0.0,0.375,0.375,0.0,169.63707235656622,169.63707235656622,0.0,92.87913576941123,92.87913576941123,0.0,0.9999828555476095,0.9999828555476095,0.0,3504,3504,0,1826,1826,0
training_depth,criterion_1.0_max240,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,240,0.75,488.12009972921766,0.0,0.0,0.012,100.0,-0.013396659818631695,-0.013396659818631695,0.0,-0.013269578558966266,-0.013269578558966266,0.0,0.625,0.625,0.0,494.65927865693993,494.65927865693993,0.0,17.611800663749012,17.611800663749012,0.0,0.9972882162812036,0.9972882162812036,0.0,881,881,0,1815,1815,0
training_depth,criterion_1.0_max240,mid_burden_1.5s,1,1.5,0.8,static,shared,240,0.75,488.12009972921766,0.0,0.0,0.012,100.0,-0.022289483991439596,-0.022289483991439596,0.0,-0.02170084486261925,-0.02170084486261925,0.0,0.5,0.5,0.0,499.0000448790542,499.0000448790542,0.0,29.947491776964707,29.947491776964707,0.0,0.9921805938318757,0.9921805938318757,0.0,1785,1785,0,1791,1791,0
training_depth,criterion_1.0_max240,high_burden_3s,1,3.0,2.6,static,shared,240,0.75,488.12009972921766,0.0,0.0,0.012,100.0,-0.032081676623617605,-0.032081676623617605,0.0,-0.03036570594636001,-0.03036570594636001,0.0,0.625,0.625,0.0,503.77981092325047,503.77981092325047,0.0,44.90883125922568,44.90883125922568,0.0,0.9824259930508972,0.9824259930508972,0.0,3576,3576,0,1790,1790,0
training_depth,criterion_1.0_max240,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,128,1.0,296.3440768403009,0.0,0.0,0.012,100.0,-0.10776961791865713,-0.10776961791865713,0.0,-0.11585752772025204,-0.11585752772025204,0.0,0.625,0.625,0.0,328.28096477494506,328.28096477494506,0.0,35.70978731510202,35.70978731510202,0.0,0.9955790733790645,0.9955790733790645,0.0,928,928,0,1704,1704,0
training_depth,criterion_1.0_max240,mid_burden_1.5s,3,1.5,0.8,static,shared,128,1.0,296.3440768403009,0.0,0.0,0.012,100.0,-0.18979513133070247,-0.18979513133070247,0.0,-0.2073668892821947,-0.2073668892821947,0.0,0.5,0.5,0.0,352.58873982447136,352.58873982447136,0.0,64.27611117558043,64.27611117558043,0.0,0.9842550163886101,0.9842550163886101,0.0,1819,1819,0,1695,1695,0
training_depth,criterion_1.0_max240,high_burden_3s,3,3.0,2.6,static,shared,128,1.0,296.3440768403009,0.0,0.0,0.012,100.0,-0.3360645752227365,-0.3360645752227365,0.0,-0.3798944069044359,-0.3798944069044359,0.0,0.75,0.75,0.0,395.93482314474664,395.93482314474664,0.0,117.90883726698418,117.90883726698418,0.0,0.9404438832804625,0.9404438832804625,0.0,3514,3514,0,1794,1794,0
training_depth,criterion_1.0_max240,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,240,0.5,487.9577562514308,0.0,0.0,0.012,100.0,-0.013349191719287168,-0.013349191719287168,0.0,-0.013578851526500069,-0.013578851526500069,0.0,0.75,0.75,0.0,494.4715978915577,494.4715978915577,0.0,17.583910375266303,17.583910375266303,0.0,0.9973008943473382,0.9973008943473382,0.0,876,876,0,1825,1825,0
training_depth,criterion_1.0_max240,mid_burden_1.5s,4,1.5,0.8,static,shared,240,0.5,487.9577562514308,0.0,0.0,0.012,100.0,-0.022224954729895607,-0.022224954729895607,0.0,-0.022494643554944238,-0.022494643554944238,0.0,0.625,0.625,0.0,498.80259529524244,498.80259529524244,0.0,29.911877458368707,29.911877458368707,0.0,0.9922120323984088,0.9922120323984088,0.0,1805,1805,0,1826,1826,0
training_depth,criterion_1.0_max240,high_burden_3s,4,3.0,2.6,static,shared,240,0.5,487.9577562514308,0.0,0.0,0.012,100.0,-0.03188607320032322,-0.03188607320032322,0.0,-0.0318527336604113,-0.0318527336604113,0.0,0.625,0.625,0.0,503.51681298696127,503.51681298696127,0.0,44.69186912754825,44.69186912754825,0.0,0.9826247089975073,0.9826247089975073,0.0,3631,3631,0,1826,1826,0
