probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
consolidation_delay,rest_1s,reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,23,16,0.875,True,-0.42992814816975167,-0.4300261461745689,0.9999809892199016,0.5,43.086395953020315,61.61045037784094,18.524827274690498,197.84471483464534,864,1819,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,no_reset,low_burden_0.75s,1,2.0,epoch_pause,independent,0.75,0.8,160,0,16,0.875,True,-0.42992814816975167,-0.4300261461745689,0.9999809892199016,0.5,43.086395953020315,61.61045037784094,18.524827274690498,197.84471483464534,864,1819,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,451,16,0.875,True,-0.8399410597070147,-0.8399410594568464,0.9999706106451229,0.25,43.086395953020315,79.27642903059616,36.190819987024774,197.84471483464534,1761,1825,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,no_reset,mid_burden_1.5s,1,0.0,static,shared,1.5,0.8,160,0,16,0.875,True,-0.8399410597070147,-0.8399410594568464,0.9999706106451229,0.25,43.086395953020315,79.27642903059616,36.190819987024774,197.84471483464534,1761,1825,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,1563,16,0.875,True,-1.8358262755907955,-1.8357566684797546,0.9999584506435386,0.875,43.086395953020315,122.18553376691975,79.09992231342262,197.84471483464534,3586,1794,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,no_reset,high_burden_3s,1,-2.0,static,shared,3.0,2.6,160,0,16,0.875,True,-1.8358262755907955,-1.8357566684797546,0.9999584506435386,0.875,43.086395953020315,122.18553376691975,79.09992231342262,197.84471483464534,3586,1794,0.012,100.0,1.0,1257,20.901589400264506
consolidation_delay,rest_1s,reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,13,48,0.875,True,-0.23391017578967,-0.2339268348015333,0.9999962363843695,0.25,103.61103631315196,127.84671203214513,24.236272985663973,198.90535604574396,922,1799,0.012,100.0,1.0,1197,27.310247654368137
consolidation_delay,rest_1s,no_reset,low_burden_0.75s,3,2.0,epoch_pause,independent,0.75,0.8,160,0,48,0.875,True,-0.23391017578967,-0.2339268348015333,0.9999962363843695,0.25,103.61103631315196,127.84671203214513,24.236272985663973,198.90535604574396,922,1799,0.012,100.0,1.0,1197,27.310247654368137
consolidation_delay,rest_1s,reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,514,48,0.875,True,-0.4565141111190638,-0.45654445063218985,0.9999936821864216,0.5,103.61103631315196,150.9109364592321,47.30050654441687,198.90535604574396,1825,1805,0.012,100.0,1.0,1197,27.310247654368137
consolidation_delay,rest_1s,no_reset,mid_burden_1.5s,3,0.0,static,shared,1.5,0.8,160,0,48,0.875,True,-0.4565141111190638,-0.45654445063218985,0.9999936821864216,0.5,103.61103631315196,150.9109364592321,47.30050654441687,198.90535604574396,1825,1805,0.012,100.0,1.0,1197,27.310247654368137
