probe,condition,protocol_id,seed,duration_s,current_uA,schedule,spatial_mode,initial_trials,initial_response_probability,trained_delta_norm,consolidation_s,consolidation_weight_change_norm,homeostasis_rate,homeostasis_interval_ms,weight_erasure_reset,weight_erasure_no_reset,weight_erasure_delta,path_erasure_reset,path_erasure_no_reset,path_erasure_delta,post_behavior_reset,post_behavior_no_reset,post_behavior_delta,post_delta_norm_reset,post_delta_norm_no_reset,post_delta_norm_delta,post_minus_trained_norm_reset,post_minus_trained_norm_no_reset,post_minus_trained_norm_delta,residual_trace_correlation_reset,residual_trace_correlation_no_reset,residual_trace_correlation_delta,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,post_readout_neuron_spikes_reset,post_readout_neuron_spikes_no_reset,post_readout_neuron_spikes_delta
consolidation_delay,rest_1s,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-0.42992814816975167,-0.42992814816975167,0.0,-0.4300261461745689,-0.4300261461745689,0.0,0.5,0.5,0.0,61.61045037784094,61.61045037784094,0.0,18.524827274690498,18.524827274690498,0.0,0.9999809892199016,0.9999809892199016,0.0,864,864,0,1819,1819,0
consolidation_delay,rest_1s,mid_burden_1.5s,1,1.5,0.8,static,shared,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-0.8399410597070147,-0.8399410597070147,0.0,-0.8399410594568464,-0.8399410594568464,0.0,0.25,0.25,0.0,79.27642903059616,79.27642903059616,0.0,36.190819987024774,36.190819987024774,0.0,0.9999706106451229,0.9999706106451229,0.0,1761,1761,0,1825,1825,0
consolidation_delay,rest_1s,high_burden_3s,1,3.0,2.6,static,shared,16,0.875,43.086395953020315,1.0,20.901589400264506,0.012,100.0,-1.8358262755907955,-1.8358262755907955,0.0,-1.8357566684797546,-1.8357566684797546,0.0,0.875,0.875,0.0,122.18553376691975,122.18553376691975,0.0,79.09992231342262,79.09992231342262,0.0,0.9999584506435386,0.9999584506435386,0.0,3586,3586,0,1794,1794,0
consolidation_delay,rest_1s,low_burden_0.75s,3,0.75,0.8,epoch_pause,independent,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.23391017578967,-0.23391017578967,0.0,-0.2339268348015333,-0.2339268348015333,0.0,0.25,0.25,0.0,127.84671203214513,127.84671203214513,0.0,24.236272985663973,24.236272985663973,0.0,0.9999962363843695,0.9999962363843695,0.0,922,922,0,1799,1799,0
consolidation_delay,rest_1s,mid_burden_1.5s,3,1.5,0.8,static,shared,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.4565141111190638,-0.4565141111190638,0.0,-0.45654445063218985,-0.45654445063218985,0.0,0.5,0.5,0.0,150.9109364592321,150.9109364592321,0.0,47.30050654441687,47.30050654441687,0.0,0.9999936821864216,0.9999936821864216,0.0,1825,1825,0,1805,1805,0
consolidation_delay,rest_1s,high_burden_3s,3,3.0,2.6,static,shared,48,0.875,103.61103631315196,1.0,27.310247654368137,0.012,100.0,-0.997700480183336,-0.997700480183336,0.0,-0.9977832941216704,-0.9977832941216704,0.0,0.5,0.5,0.0,206.98381699707443,206.98381699707443,0.0,103.37339045038976,103.37339045038976,0.0,0.9999898771770903,0.9999898771770903,0.0,3630,3630,0,1811,1811,0
consolidation_delay,rest_1s,low_burden_0.75s,4,0.75,0.8,epoch_pause,independent,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.23379956855696848,-0.23379956855696848,0.0,-0.2337520224346028,-0.2337520224346028,0.0,0.625,0.625,0.0,128.67736407183617,128.67736407183617,0.0,24.384319042645185,24.384319042645185,0.0,0.999996633097401,0.999996633097401,0.0,838,838,0,1817,1817,0
consolidation_delay,rest_1s,mid_burden_1.5s,4,1.5,0.8,static,shared,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.4564561531028135,-0.4564561531028135,0.0,-0.4563605405333466,-0.4563605405333466,0.0,0.625,0.625,0.0,151.89901459170696,151.89901459170696,0.0,47.606024853767366,47.606024853767366,0.0,0.9999938472803264,0.9999938472803264,0.0,1746,1746,0,1911,1911,0
consolidation_delay,rest_1s,high_burden_3s,4,3.0,2.6,static,shared,48,0.875,104.29357194629374,1.0,27.535611431624467,0.012,100.0,-0.9969542943436285,-0.9969542943436285,0.0,-0.9968643235619579,-0.9968643235619579,0.0,0.375,0.375,0.0,208.26949637258443,208.26949637258443,0.0,103.97654321936336,103.97654321936336,0.0,0.9999895830786197,0.9999895830786197,0.0,3657,3657,0,1807,1807,0
consolidation_delay,rest_10s,low_burden_0.75s,1,0.75,0.8,epoch_pause,independent,16,0.875,357.5851603873427,10.0,335.55311106454883,0.012,100.0,-0.06748413099750272,-0.06748413099750272,0.0,-0.07764468569776528,-0.07764468569776528,0.0,0.375,0.375,0.0,381.7164841947526,381.7164841947526,0.0,32.51621155077056,32.51621155077056,0.0,0.9934943520414045,0.9934943520414045,0.0,868,868,0,1754,1754,0
