probe,condition,control_mode,protocol_id,seed,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,initial_trials,initial_response_probability,initial_reached_criterion,weight_erasure,path_erasure,residual_trace_correlation,post_behavior,trained_delta_norm,post_delta_norm,post_minus_trained_norm,baseline_weight_norm,reset_window_neuron_spikes,post_readout_neuron_spikes,homeostasis_rate,homeostasis_interval_ms,consolidation_s,consolidation_spikes,consolidation_weight_change_norm
stronger_protocols,expanded_protocol_family,reset,static_3s_5uA,1,0.0,static,shared,3.0,5.0,160,1055,16,0.875,True,-3.1772387082042206,-3.1770903763161655,0.9999012892645086,0.25,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_5uA,1,0.0,static,shared,3.0,5.0,160,0,16,0.875,True,-3.1772387082042206,-3.1770903763161655,0.9999012892645086,0.25,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_10uA,1,0.0,static,shared,3.0,10.0,160,1055,16,0.875,True,-3.1772387082042206,-3.1770903763161655,0.9999012892645086,0.25,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_10uA,1,0.0,static,shared,3.0,10.0,160,0,16,0.875,True,-3.1772387082042206,-3.1770903763161655,0.9999012892645086,0.25,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_20uA_threshold_probe,1,0.0,static,shared,3.0,20.0,160,1055,16,0.875,True,-2.510274629682943,-2.5237966698546708,0.97414924180367,0.25,22.18569381061725,77.8778781288339,55.927058188792955,197.84471483464534,24612,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_20uA_threshold_probe,1,0.0,static,shared,3.0,20.0,160,0,16,0.875,True,-3.1772387082042206,-3.1770903763161655,0.9999012892645086,0.25,22.18569381061725,92.67493895825442,70.49006199900246,197.84471483464534,3695,1779,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,chirp_10s_10uA,1,0.0,chirp,shared,10.0,10.0,160,10354,16,0.875,True,-2.900970482703393,-3.16788549398757,0.44670558011978534,0.375,22.18569381061725,86.54573669741421,73.41705438328295,197.84471483464534,372580,1807,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,chirp_10s_10uA,1,0.0,chirp,shared,10.0,10.0,160,0,16,0.875,True,-15.117826353489917,-15.39578026732136,0.9774813806446762,0.375,22.18569381061725,357.5851603873427,335.55311106454883,197.84471483464534,12002,1807,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,gated_burst_10s_10uA,1,1.0,gated_burst,correlated,10.0,10.0,160,3251,16,0.875,True,-4.074509882837222,-5.235673332340257,0.6532627517670264,0.375,22.18569381061725,112.58152250465233,94.50555585480828,197.84471483464534,273381,1807,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,gated_burst_10s_10uA,1,1.0,gated_burst,correlated,10.0,10.0,160,0,16,0.875,True,-15.117826353489917,-15.39578026732136,0.9774813806446762,0.375,22.18569381061725,357.5851603873427,335.55311106454883,197.84471483464534,12002,1807,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,gated_burst_30s_10uA,1,1.0,gated_burst,correlated,30.0,10.0,160,6969,16,0.875,True,-14.114054551257468,-17.31818196380177,0.45047915149976103,0.25,22.18569381061725,335.3157865262783,318.97049367029064,197.84471483464534,911707,1798,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,gated_burst_30s_10uA,1,1.0,gated_burst,correlated,30.0,10.0,160,0,16,0.875,True,-21.714369959231348,-22.954315981349865,0.6368125796685937,0.25,22.18569381061725,503.93405703930364,483.87559377920553,197.84471483464534,36110,1798,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_5uA,3,0.0,static,shared,3.0,5.0,160,1057,48,0.875,True,-1.2101533788339753,-1.209915293686611,0.9999836529884484,0.75,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_5uA,3,0.0,static,shared,3.0,5.0,160,0,48,0.875,True,-1.2101533788339753,-1.209915293686611,0.9999836529884484,0.75,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_10uA,3,0.0,static,shared,3.0,10.0,160,1057,48,0.875,True,-1.2094198139455252,-1.2091830166892334,0.9999794917152477,0.75,76.30150484186338,168.5820566336828,92.28138181878957,198.90535604574396,3584,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_10uA,3,0.0,static,shared,3.0,10.0,160,0,48,0.875,True,-1.2101533788339753,-1.209915293686611,0.9999836529884484,0.75,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,reset,static_3s_20uA_threshold_probe,3,0.0,static,shared,3.0,20.0,160,1057,48,0.875,True,-0.35608005756216543,-0.5048400640957498,0.943351984475125,0.75,76.30150484186338,103.47094907939002,31.915324946470417,198.90535604574396,64970,1840,0.012,100.0,0.0,0,0.0
stronger_protocols,expanded_protocol_family,no_reset,static_3s_20uA_threshold_probe,3,0.0,static,shared,3.0,20.0,160,0,48,0.875,True,-1.2101533788339753,-1.209915293686611,0.9999836529884484,0.75,76.30150484186338,168.63802873857142,92.33718532616301,198.90535604574396,3538,1840,0.012,100.0,0.0,0,0.0
