task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
conditioned_electrode_association,1,axis,0.0,0.5625,0.4,26.621750092122845,0.0
conditioned_electrode_association,1,random,0.0,0.5625,0.4,26.621750092122845,0.0
conditioned_electrode_association,1,axis,0.0667,0.0625,0.4,24.84607936097825,1.775670731144594
conditioned_electrode_association,1,random,0.0667,0.5625,0.4,26.615679401776923,1.7756189909126523
conditioned_electrode_association,1,axis,0.1333,0.0,0.4,23.07307080484287,3.5486792872799757
conditioned_electrode_association,1,random,0.1333,0.5625,0.4,26.726689603710568,3.5485549102987086
conditioned_electrode_association,1,axis,0.2,0.0,0.4,21.297400073698277,5.324350018424569
conditioned_electrode_association,1,random,0.2,0.5625,0.4,26.95431620267419,5.324155623416363
conditioned_electrode_association,1,axis,0.2667,0.0,0.4,19.521729342553684,7.100020749569164
conditioned_electrode_association,1,random,0.2667,0.5625,0.4,27.295085891475036,7.099644088010039
conditioned_electrode_association,1,axis,0.3333,0.0,0.4,17.748720786418303,8.873029305704545
conditioned_electrode_association,1,random,0.3333,0.5625,0.4,27.743859741479607,8.872377751651644
conditioned_electrode_association,1,axis,0.4,0.0,0.4,15.973050055273706,10.64870003684914
conditioned_electrode_association,1,random,0.4,0.5625,0.4,28.296274710356066,10.647570509765009
conditioned_electrode_association,1,axis,0.4667,0.0,0.4,14.197379324129114,12.424370767993732
conditioned_electrode_association,1,random,0.4667,0.5625,0.4,28.94586756533529,12.422596575650278
conditioned_electrode_association,1,axis,0.5333,0.0,0.4,12.424370767993732,14.197379324129114
conditioned_electrode_association,1,random,0.5333,0.625,0.4,29.685648624212373,14.194975443191854
conditioned_electrode_association,1,axis,0.6,0.0,0.4,10.648700036849139,15.973050055273706
conditioned_electrode_association,1,random,0.6,0.625,0.4,30.511287860772644,15.969964470013887
conditioned_electrode_association,1,axis,0.6667,0.0,0.4,8.873029305704547,17.7487207864183
conditioned_electrode_association,1,random,0.6667,0.625,0.4,31.41480363754003,17.74473838541981
conditioned_electrode_association,1,axis,0.7333,0.0,0.4,7.100020749569165,19.521729342553684
conditioned_electrode_association,1,random,0.7333,0.625,0.4,32.388455788071,19.516723198135786
conditioned_electrode_association,1,axis,0.8,0.0,0.4,5.3243500184245685,21.29740007369828
conditioned_electrode_association,1,random,0.8,0.6875,0.4,33.42875146443623,21.290904695051825
conditioned_electrode_association,1,axis,0.8667,0.0,0.4,3.548679287279975,23.07307080484287
conditioned_electrode_association,1,random,0.8667,0.6875,0.4,34.52787596269104,23.06404965518218
conditioned_electrode_association,1,axis,0.9333,0.0,0.4,1.7756707311445934,24.84607936097825
conditioned_electrode_association,1,random,0.9333,0.6875,0.4,35.67781454696913,24.83268172026006
conditioned_electrode_association,1,axis,1.0,0.0,0.4,1.0336856065293927e-15,26.621750092122845
conditioned_electrode_association,1,random,1.0,0.75,0.4,36.876163249539715,26.601301703767003
conditioned_electrode_association,3,axis,0.0,0.5625,0.4,29.886260038524682,0.0
conditioned_electrode_association,3,random,0.0,0.5625,0.4,29.886260038524682,0.0
conditioned_electrode_association,3,axis,0.0667,0.25,0.4,27.892846493955087,1.9934135445695962
conditioned_electrode_association,3,random,0.0667,0.5625,0.4,29.875724321952504,1.993380047608076
conditioned_electrode_association,3,axis,0.1333,0.0,0.4,25.902421575389344,3.98383846313534
conditioned_electrode_association,3,random,0.1333,0.5625,0.4,29.99685224143432,3.983708440548484
