task,seed,alpha_star_axis,random_ever_breaks
conditioned_electrode_association,1,0.7333,False
conditioned_electrode_association,2,0.7333,False
conditioned_electrode_association,3,0.7333,False
conditioned_electrode_association,4,0.8667,False
conditioned_electrode_association,5,0.6667,False
conditioned_electrode_association,6,0.8667,False
conditioned_electrode_association,7,0.8,False
conditioned_electrode_association,8,0.8667,False
conditioned_electrode_association,9,0.7333,False
conditioned_electrode_association,10,0.8,False
conditioned_electrode_association,11,0.8667,False
conditioned_electrode_association,12,0.9333,False
conditioned_electrode_association,13,0.8,False
conditioned_electrode_association,14,0.7333,False
conditioned_electrode_association,15,0.8667,False
conditioned_electrode_association,16,0.8667,False
conditioned_electrode_association,17,0.8667,False
conditioned_electrode_association,18,0.9333,False
conditioned_electrode_association,19,0.8,False
conditioned_electrode_association,20,0.8,False
conditioned_electrode_association,21,0.9333,False
conditioned_electrode_association,22,0.7333,False
conditioned_electrode_association,23,0.8667,False
conditioned_electrode_association,24,0.8,False
conditioned_electrode_association,25,0.7333,False
conditioned_electrode_association,26,0.8,False
conditioned_electrode_association,27,0.8667,False
conditioned_electrode_association,28,0.9333,False
conditioned_electrode_association,29,0.6667,False
conditioned_electrode_association,30,0.8,False
conditioned_electrode_association,31,0.8,False
conditioned_electrode_association,32,0.8,False
conditioned_electrode_association,33,0.8667,False
conditioned_electrode_association,34,0.8667,False
conditioned_electrode_association,35,0.8,False
conditioned_electrode_association,36,0.8667,False
conditioned_electrode_association,37,0.8667,False
conditioned_electrode_association,38,0.8,False
conditioned_electrode_association,39,0.8667,False
conditioned_electrode_association,40,0.8667,False
conditioned_electrode_association,41,0.8,False
conditioned_electrode_association,42,0.7333,False
conditioned_electrode_association,43,0.7333,False
conditioned_electrode_association,44,0.8,False
conditioned_electrode_association,45,0.8,False
conditioned_electrode_association,46,0.6667,False
conditioned_electrode_association,47,0.6667,False
conditioned_electrode_association,48,0.8,False
conditioned_electrode_association,49,0.8667,False
conditioned_electrode_association,50,0.8,False
