task,seed,alpha_star_axis,random_ever_breaks
multi_association_mapping,1,0.8,False
multi_association_mapping,2,0.8,False
multi_association_mapping,3,0.8,False
multi_association_mapping,4,0.8667,False
multi_association_mapping,5,0.7333,False
multi_association_mapping,6,0.8,False
multi_association_mapping,7,0.8,False
multi_association_mapping,8,0.8667,False
multi_association_mapping,9,0.7333,False
multi_association_mapping,10,0.8,False
multi_association_mapping,11,0.8667,False
multi_association_mapping,12,0.9333,False
multi_association_mapping,13,0.8,False
multi_association_mapping,14,0.8,False
multi_association_mapping,15,0.8667,False
multi_association_mapping,16,0.8667,False
multi_association_mapping,17,0.8,False
multi_association_mapping,18,0.9333,False
multi_association_mapping,19,0.8,False
multi_association_mapping,20,0.8,False
multi_association_mapping,21,0.8,False
multi_association_mapping,22,0.8667,False
multi_association_mapping,23,0.8667,False
multi_association_mapping,24,0.8,False
multi_association_mapping,25,0.8667,False
multi_association_mapping,26,0.8667,False
multi_association_mapping,27,0.8667,False
multi_association_mapping,28,0.8667,False
multi_association_mapping,29,0.7333,False
multi_association_mapping,30,0.8,False
multi_association_mapping,31,0.8,False
multi_association_mapping,32,0.8667,False
multi_association_mapping,33,0.8667,False
multi_association_mapping,34,0.8667,False
multi_association_mapping,35,0.8,False
multi_association_mapping,36,0.8,False
multi_association_mapping,37,0.8667,False
multi_association_mapping,38,0.8667,False
multi_association_mapping,39,0.8,False
multi_association_mapping,40,0.8,False
multi_association_mapping,41,0.8,False
multi_association_mapping,42,0.8,False
multi_association_mapping,43,0.7333,False
multi_association_mapping,44,0.8667,False
multi_association_mapping,45,0.8667,False
multi_association_mapping,46,0.8,False
multi_association_mapping,47,0.8,False
multi_association_mapping,48,0.8,False
multi_association_mapping,49,0.8667,False
multi_association_mapping,50,0.8,False
