task,seed,condition,score,criterion,distance_from_naive,distance_from_trained,edges_changed_fraction,mapping_count
overlapping_shared_input_association,5,trained,0.75,0.25,95.09000208150637,0.0,,2
overlapping_shared_input_association,5,naive_replacement,-0.25,0.25,0.0,95.09000208150637,,2
overlapping_shared_input_association,5,zero_all,0.0,0.25,196.96589655845096,226.09912171980588,,2
overlapping_shared_input_association,5,shuffle_magnitudes,0.25,0.25,144.17841384801528,165.10033284347358,,2
overlapping_shared_input_association,5,anti_training_delta,0.75,0.25,100.63883601858566,35.81702853138007,,2
overlapping_shared_input_association,5,random_matched_full_trace,0.75,0.25,122.99006265312838,87.856935443555,,2
overlapping_shared_input_association,5,zero_task_path_union,0.75,0.25,93.29689834397973,26.569382985927206,0.0017548766976439648,2
overlapping_shared_input_association,5,zero_all_task_inputs_outgoing,0.25,0.25,82.7883532249578,73.07415480373939,0.019597425347420268,2
overlapping_shared_input_association,5,zero_all_task_targets_incoming,0.0,0.25,92.32598310447321,65.49528091549722,0.03997305959548764,2
overlapping_shared_input_association,5,random_edge_count_matched_task_path_union,0.75,0.25,95.35866506950052,9.792406620967418,0.0017548766976439648,2
overlapping_shared_input_association,5,random_distance_matched_task_path_union,0.75,0.25,96.4857255572275,26.392085089026182,,2
overlapping_shared_input_association,5,zero_path_input_correct,0.75,0.25,94.12509297332572,19.6895667588532,0.0009407264220673791,2
overlapping_shared_input_association,5,zero_path_input_context_correct,0.75,0.25,94.27028486872501,17.83964890634178,0.0008141502755765856,2
overlapping_shared_input_association,31,trained,0.75,0.25,95.62754120387402,0.0,,2
overlapping_shared_input_association,31,naive_replacement,-0.25,0.25,0.0,95.62754120387402,,2
overlapping_shared_input_association,31,zero_all,0.0,0.25,197.46630610878535,226.87429885806932,,2
overlapping_shared_input_association,31,shuffle_magnitudes,0.25,0.25,144.96783219938857,165.9420616872356,,2
overlapping_shared_input_association,31,anti_training_delta,0.75,0.25,102.38049561983784,37.05277353951462,,2
overlapping_shared_input_association,31,random_matched_full_trace,0.75,0.25,123.72383214338598,88.35856256839739,,2
overlapping_shared_input_association,31,zero_task_path_union,0.75,0.25,93.49485007698479,29.129357568487823,0.002101798952382143,2
overlapping_shared_input_association,31,zero_all_task_inputs_outgoing,0.25,0.25,82.7131428962642,74.5786103368815,0.020999237414209098,2
overlapping_shared_input_association,31,zero_all_task_targets_incoming,0.0,0.25,91.44177426685918,71.32911003781875,0.042500093760548065,2
overlapping_shared_input_association,31,random_edge_count_matched_task_path_union,0.75,0.25,96.00169745936493,10.328532446181537,0.002101798952382143,2
overlapping_shared_input_association,31,random_distance_matched_task_path_union,0.75,0.25,97.4858489020684,28.90845256239065,,2
overlapping_shared_input_association,31,zero_path_input_correct,0.75,0.25,94.45864334674721,21.4957356056436,0.0011032491155254967,2
overlapping_shared_input_association,31,zero_path_input_context_correct,0.75,0.25,94.67564800258033,19.658403371715742,0.0009985498368566463,2
overlapping_shared_input_association,10,trained,0.75,0.25,99.57817985205533,0.0,,2
overlapping_shared_input_association,10,naive_replacement,-0.25,0.25,0.0,99.57817985205533,,2
overlapping_shared_input_association,10,zero_all,-0.0625,0.25,197.74774718082807,229.64212510285805,,2
overlapping_shared_input_association,10,shuffle_magnitudes,0.25,0.25,147.73921670199329,170.3479606421941,,2
overlapping_shared_input_association,10,anti_training_delta,0.75,0.25,105.93330792319053,37.44304623282202,,2
overlapping_shared_input_association,10,random_matched_full_trace,0.75,0.25,128.19198565893203,91.48933177671753,,2
overlapping_shared_input_association,10,zero_task_path_union,0.75,0.25,97.51397995187368,28.67586855662477,0.001975197519751975,2
overlapping_shared_input_association,10,zero_all_task_inputs_outgoing,0.25,0.25,85.42145427326645,77.29152349663732,0.020598934893489348,2
overlapping_shared_input_association,10,zero_all_task_targets_incoming,-0.0625,0.25,93.9354012586329,72.75323805867225,0.041047854785478545,2
overlapping_shared_input_association,10,random_edge_count_matched_task_path_union,0.75,0.25,99.87508409118898,9.966538567165507,0.001975197519751975,2
overlapping_shared_input_association,10,random_distance_matched_task_path_union,0.75,0.25,101.10190644432973,28.45011191687574,,2
overlapping_shared_input_association,10,zero_path_input_correct,0.75,0.25,98.40424042785311,21.575768947694993,0.001071982198219822,2
overlapping_shared_input_association,10,zero_path_input_context_correct,0.75,0.25,98.69850887688212,18.88892881538024,0.0009032153215321532,2
overlapping_shared_input_association,28,trained,0.75,0.25,94.41730790791686,0.0,,2
overlapping_shared_input_association,28,naive_replacement,-0.25,0.25,0.0,94.41730790791686,,2
overlapping_shared_input_association,28,zero_all,-0.1875,0.25,198.11049737916687,226.8862062030237,,2
overlapping_shared_input_association,28,shuffle_magnitudes,-0.25,0.25,144.79987888948503,165.3482615365236,,2
overlapping_shared_input_association,28,anti_training_delta,0.75,0.25,100.58791490466129,35.76234026630444,,2
overlapping_shared_input_association,28,random_matched_full_trace,0.75,0.25,122.31128514205116,87.32279986641916,,2
overlapping_shared_input_association,28,zero_task_path_union,0.75,0.25,92.29905549007908,28.174915170982647,0.0018032602445183388,2
overlapping_shared_input_association,28,zero_all_task_inputs_outgoing,0.25,0.25,82.00541884323201,71.0193841845392,0.01740130509788234,2
overlapping_shared_input_association,28,zero_all_task_targets_incoming,-0.1875,0.25,90.07002654507463,72.07817279023509,0.04425019376453234,2
overlapping_shared_input_association,28,random_edge_count_matched_task_path_union,0.75,0.25,94.7443556714578,9.49369229907854,0.0018032602445183388,2
overlapping_shared_input_association,28,random_distance_matched_task_path_union,0.75,0.25,96.21718044108088,27.981260550391003,,2
overlapping_shared_input_association,28,zero_path_input_correct,0.75,0.25,93.14285742437116,21.597285262522014,0.0010235142635697677,2
overlapping_shared_input_association,28,zero_path_input_context_correct,0.75,0.25,93.58499766395437,18.09373135042404,0.0007797459809485712,2
overlapping_shared_input_association,21,trained,0.75,0.25,99.97686329088312,0.0,,2
overlapping_shared_input_association,21,naive_replacement,-0.25,0.25,0.0,99.97686329088312,,2
overlapping_shared_input_association,21,zero_all,-0.15625,0.25,198.41644650832558,230.49573332214496,,2
overlapping_shared_input_association,21,shuffle_magnitudes,0.25,0.25,147.96986418689423,170.61751961499598,,2
overlapping_shared_input_association,21,anti_training_delta,0.75,0.25,105.42930431587291,36.41402947708667,,2
overlapping_shared_input_association,21,random_matched_full_trace,0.75,0.25,128.5426226310494,91.7912945518488,,2
overlapping_shared_input_association,21,zero_task_path_union,0.75,0.25,97.42369122291656,31.957470049601238,0.002358092523487164,2
overlapping_shared_input_association,21,zero_all_task_inputs_outgoing,0.25,0.25,86.34972691392329,76.56225151785621,0.02040086010213713,2
overlapping_shared_input_association,21,zero_all_task_targets_incoming,-0.15625,0.25,93.83936919874648,75.87811362123136,0.044391208956063535,2
overlapping_shared_input_association,21,random_edge_count_matched_task_path_union,0.75,0.25,100.29831962928105,11.300780146308444,0.002358092523487164,2
overlapping_shared_input_association,21,random_distance_matched_task_path_union,0.75,0.25,102.1276865897336,31.677435413708864,,2
overlapping_shared_input_association,21,zero_path_input_correct,0.75,0.25,98.37384521083621,24.789359442076627,0.001353285702677193,2
overlapping_shared_input_association,21,zero_path_input_context_correct,0.75,0.25,99.04208894917632,20.168479130134887,0.0010048068208099712,2
overlapping_shared_input_association,18,trained,0.75,0.25,96.9859328134372,0.0,,2
overlapping_shared_input_association,18,naive_replacement,-0.25,0.25,0.0,96.9859328134372,,2
overlapping_shared_input_association,18,zero_all,-0.125,0.25,198.0177159334717,228.34576782514245,,2
overlapping_shared_input_association,18,shuffle_magnitudes,-0.25,0.25,146.0867733161205,167.6797681388776,,2
overlapping_shared_input_association,18,anti_training_delta,0.75,0.25,102.94647859714928,36.10162725525907,,2
overlapping_shared_input_association,18,random_matched_full_trace,0.75,0.25,125.25239755018924,89.40301401336626,,2
overlapping_shared_input_association,18,zero_task_path_union,0.75,0.25,95.0552722834448,27.32378374662014,0.001748609628760331,2
overlapping_shared_input_association,18,zero_all_task_inputs_outgoing,0.25,0.25,84.56377206449699,72.8314752236921,0.018598705810103183,2
overlapping_shared_input_association,18,zero_all_task_targets_incoming,-0.125,0.25,91.99730280032618,71.74605040262617,0.04134782017604858,2
overlapping_shared_input_association,18,random_edge_count_matched_task_path_union,0.75,0.25,97.21510725573238,9.834960228042995,0.001748609628760331,2
overlapping_shared_input_association,18,random_distance_matched_task_path_union,0.75,0.25,98.45283913802888,27.130791811696874,,2
overlapping_shared_input_association,18,zero_path_input_correct,0.75,0.25,96.02046929047769,19.24790644943694,0.0008516463339359969,2
overlapping_shared_input_association,18,zero_path_input_context_correct,0.75,0.25,96.03044012087429,19.393484873683395,0.0008969632948243343,2
overlapping_shared_input_association,1,trained,0.75,0.25,95.34226739800066,0.0,,2
overlapping_shared_input_association,1,naive_replacement,-0.25,0.25,0.0,95.34226739800066,,2
overlapping_shared_input_association,1,zero_all,0.0,0.25,197.84471483464532,227.02253901883861,,2
overlapping_shared_input_association,1,shuffle_magnitudes,0.25,0.25,145.2154062012314,166.30627265565394,,2
overlapping_shared_input_association,1,anti_training_delta,0.75,0.25,101.23664155047227,36.49537324602829,,2
overlapping_shared_input_association,1,random_matched_full_trace,0.75,0.25,123.33896243483258,88.195987032998,,2
overlapping_shared_input_association,1,zero_task_path_union,0.75,0.25,93.2055703046782,29.257163913326266,0.0020736448644864485,2
overlapping_shared_input_association,1,zero_all_task_inputs_outgoing,0.25,0.25,82.86145051671886,74.13905374215538,0.020100447544754475,2
overlapping_shared_input_association,1,zero_all_task_targets_incoming,0.0,0.25,91.02058418897137,70.46658337628674,0.04203232823282328,2
overlapping_shared_input_association,1,random_edge_count_matched_task_path_union,0.75,0.25,95.66943353487297,10.433002487646979,0.0020736448644864485,2
overlapping_shared_input_association,1,random_distance_matched_task_path_union,0.75,0.25,97.22554826057937,29.041304465305174,,2
overlapping_shared_input_association,1,zero_path_input_correct,0.75,0.25,94.32404906107348,20.256125105734995,0.0009829107910791079,2
overlapping_shared_input_association,1,zero_path_input_context_correct,0.75,0.25,94.23587457617387,21.11092219567998,0.0010907340734073406,2
overlapping_shared_input_association,23,trained,0.75,0.25,97.90281603336105,0.0,,2
overlapping_shared_input_association,23,naive_replacement,-0.25,0.25,0.0,97.90281603336105,,2
overlapping_shared_input_association,23,zero_all,-0.03125,0.25,197.64163643052976,228.56182878343876,,2
overlapping_shared_input_association,23,shuffle_magnitudes,0.25,0.25,146.4301029602368,168.41253256192243,,2
overlapping_shared_input_association,23,anti_training_delta,0.75,0.25,103.6350159448413,36.0534084750832,,2
overlapping_shared_input_association,23,random_matched_full_trace,0.75,0.25,126.24903968678247,90.12960014694936,,2
overlapping_shared_input_association,23,zero_task_path_union,0.75,0.25,95.45702132183968,31.37635366760288,0.0024533550020314405,2
overlapping_shared_input_association,23,zero_all_task_inputs_outgoing,0.25,0.25,83.70941143011744,77.00222877569558,0.020600368784573553,2
overlapping_shared_input_association,23,zero_all_task_targets_incoming,-0.03125,0.25,92.29426204435188,73.8151358384889,0.0430852892458668,2
overlapping_shared_input_association,23,random_edge_count_matched_task_path_union,0.75,0.25,98.28936812155428,11.26449281027202,0.0024533550020314405,2
overlapping_shared_input_association,23,random_distance_matched_task_path_union,0.75,0.25,100.12225680206697,31.114819246770313,,2
overlapping_shared_input_association,23,zero_path_input_correct,0.75,0.25,96.4856177803648,23.860259244698096,0.0013766915648342033,2
overlapping_shared_input_association,23,zero_path_input_context_correct,0.75,0.25,96.88926601250338,20.375563752944263,0.0010766634371972372,2
