task,seed,alpha_star_axis,random_ever_breaks
overlapping_shared_input_association,1,0.9333,False
overlapping_shared_input_association,2,0.8667,False
overlapping_shared_input_association,3,0.9333,False
overlapping_shared_input_association,4,0.9333,False
overlapping_shared_input_association,5,0.9333,False
overlapping_shared_input_association,6,0.9333,False
overlapping_shared_input_association,7,1.0,False
overlapping_shared_input_association,8,1.0,False
overlapping_shared_input_association,9,1.0,False
overlapping_shared_input_association,10,0.9333,False
overlapping_shared_input_association,11,1.0,False
overlapping_shared_input_association,12,,False
overlapping_shared_input_association,13,0.8667,False
overlapping_shared_input_association,14,1.0,False
overlapping_shared_input_association,15,0.9333,False
overlapping_shared_input_association,16,0.9333,False
overlapping_shared_input_association,17,1.0,False
overlapping_shared_input_association,18,0.9333,False
overlapping_shared_input_association,19,1.0,False
overlapping_shared_input_association,20,0.8667,False
overlapping_shared_input_association,21,1.0,False
overlapping_shared_input_association,22,0.8667,False
overlapping_shared_input_association,23,0.9333,False
overlapping_shared_input_association,24,0.8667,False
overlapping_shared_input_association,25,,False
overlapping_shared_input_association,26,1.0,False
overlapping_shared_input_association,27,1.0,False
overlapping_shared_input_association,28,0.9333,False
overlapping_shared_input_association,29,0.9333,False
overlapping_shared_input_association,30,0.8,False
overlapping_shared_input_association,31,0.9333,False
overlapping_shared_input_association,32,1.0,False
overlapping_shared_input_association,33,0.9333,False
overlapping_shared_input_association,34,1.0,False
overlapping_shared_input_association,35,,False
overlapping_shared_input_association,36,1.0,False
overlapping_shared_input_association,37,1.0,False
overlapping_shared_input_association,38,,False
overlapping_shared_input_association,39,0.8667,False
overlapping_shared_input_association,40,0.8667,False
overlapping_shared_input_association,41,1.0,False
overlapping_shared_input_association,42,0.9333,False
overlapping_shared_input_association,43,0.8667,False
overlapping_shared_input_association,44,,False
overlapping_shared_input_association,45,,False
overlapping_shared_input_association,46,,False
overlapping_shared_input_association,47,0.8667,False
overlapping_shared_input_association,48,0.8667,False
overlapping_shared_input_association,49,1.0,False
overlapping_shared_input_association,50,,False
