task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
overlapping_shared_input_association,5,axis,0.0,0.75,0.25,95.09000208150637,0.0
overlapping_shared_input_association,5,random,0.0,0.75,0.25,95.09000208150637,0.0
overlapping_shared_input_association,5,axis,0.0667,0.75,0.25,88.74749894266989,6.342503138836475
overlapping_shared_input_association,5,random,0.0667,0.75,0.25,94.78392387874119,6.306664874144487
overlapping_shared_input_association,5,axis,0.1333,0.75,0.25,82.41450480404157,12.6754972774648
overlapping_shared_input_association,5,random,0.1333,0.75,0.25,94.87146998409267,12.597822217704712
overlapping_shared_input_association,5,axis,0.2,0.75,0.25,76.07200166520508,19.018000416301273
overlapping_shared_input_association,5,random,0.2,0.75,0.25,95.36230423866533,18.8984559580505
overlapping_shared_input_association,5,axis,0.2667,0.75,0.25,69.72949852636863,25.360503555137747
overlapping_shared_input_association,5,random,0.2667,0.75,0.25,96.25464331619897,25.193097036615853
overlapping_shared_input_association,5,axis,0.3333,0.75,0.25,63.39650438774029,31.693497693766073
overlapping_shared_input_association,5,random,0.3333,0.75,0.25,97.5259344541815,31.44354298873955
overlapping_shared_input_association,5,axis,0.4,0.75,0.25,57.054001248903816,38.03600083260254
overlapping_shared_input_association,5,random,0.4,0.75,0.25,99.1469913241828,37.63407628505206
overlapping_shared_input_association,5,axis,0.4667,0.75,0.25,50.711498110067346,44.378503971439024
overlapping_shared_input_association,5,random,0.4667,0.75,0.25,101.07201312499527,43.72132678706509
overlapping_shared_input_association,5,axis,0.5333,0.75,0.25,44.378503971439024,50.711498110067346
overlapping_shared_input_association,5,random,0.5333,0.75,0.25,103.25697818509555,49.68549425124851
overlapping_shared_input_association,5,axis,0.6,0.75,0.25,38.03600083260254,57.054001248903816
overlapping_shared_input_association,5,random,0.6,0.75,0.25,105.66610559401096,55.530747666177255
overlapping_shared_input_association,5,axis,0.6667,0.25,0.25,31.69349769376608,63.396504387740286
overlapping_shared_input_association,5,random,0.6667,0.75,0.25,108.25800785362632,61.242668862049264
overlapping_shared_input_association,5,axis,0.7333,0.25,0.25,25.36050355513775,69.72949852636862
overlapping_shared_input_association,5,random,0.7333,0.75,0.25,110.99462600117836,66.81176127017996
overlapping_shared_input_association,5,axis,0.8,0.25,0.25,19.01800041630127,76.07200166520508
overlapping_shared_input_association,5,random,0.8,0.75,0.25,113.85851831459753,72.2619920451526
overlapping_shared_input_association,5,axis,0.8667,0.25,0.25,12.675497277464796,82.41450480404157
overlapping_shared_input_association,5,random,0.8667,0.75,0.25,116.82170507453198,77.58838397109177
overlapping_shared_input_association,5,axis,0.9333,0.125,0.25,6.342503138836474,88.74749894266989
overlapping_shared_input_association,5,random,0.9333,0.75,0.25,119.85932339904464,82.78908829642994
overlapping_shared_input_association,5,axis,1.0,-0.25,0.25,4.725931843147493e-15,95.09000208150637
overlapping_shared_input_association,5,random,1.0,0.75,0.25,122.96507009284186,87.88622639882425
