task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
overlapping_shared_target_association,26,axis,0.0,1.0,0.35,79.22601412687098,0.0
overlapping_shared_target_association,26,random,0.0,1.0,0.35,79.22601412687098,0.0
overlapping_shared_target_association,26,axis,0.0667,1.0,0.35,73.94163898460869,5.284375142262294
overlapping_shared_target_association,26,random,0.0667,1.0,0.35,79.04372626525789,5.26392820050713
overlapping_shared_target_association,26,axis,0.1333,1.0,0.35,68.66518644375908,10.560827683111905
overlapping_shared_target_association,26,random,0.1333,1.0,0.35,79.1983943244304,10.517484288855739
overlapping_shared_target_association,26,axis,0.2,1.0,0.35,63.380811301496784,15.845202825374198
overlapping_shared_target_association,26,random,0.2,1.0,0.35,79.69336826337188,15.778831161701516
overlapping_shared_target_association,26,axis,0.2667,1.0,0.35,58.09643615923449,21.12957796763649
overlapping_shared_target_association,26,random,0.2667,1.0,0.35,80.52444353823299,21.038647405121257
overlapping_shared_target_association,26,axis,0.3333,0.6666666666666667,0.35,52.81998361838488,26.406030508486097
overlapping_shared_target_association,26,random,0.3333,1.0,0.35,81.67812912575648,26.282363447498607
overlapping_shared_target_association,26,axis,0.4,0.6666666666666667,0.35,47.5356084761226,31.690405650748392
overlapping_shared_target_association,26,random,0.4,1.0,0.35,83.13754590123636,31.508666906678993
overlapping_shared_target_association,26,axis,0.4667,0.6666666666666667,0.35,42.25123333386029,36.974780793010694
overlapping_shared_target_association,26,random,0.4667,1.0,0.35,84.86920866908366,36.68372550533164
overlapping_shared_target_association,26,axis,0.5333,0.6666666666666667,0.35,36.974780793010694,42.25123333386029
overlapping_shared_target_association,26,random,0.5333,1.0,0.35,86.83508643617994,41.77970655072817
overlapping_shared_target_association,26,axis,0.6,0.6666666666666667,0.35,31.690405650748396,47.53560847612259
overlapping_shared_target_association,26,random,0.6,1.0,0.35,89.00838979332038,46.80310231712567
overlapping_shared_target_association,26,axis,0.6667,0.6666666666666667,0.35,26.406030508486104,52.81998361838488
overlapping_shared_target_association,26,random,0.6667,1.0,0.35,91.35434920505246,51.73862176233462
overlapping_shared_target_association,26,axis,0.7333,0.6666666666666667,0.35,21.129577967636497,58.09643615923449
overlapping_shared_target_association,26,random,0.7333,1.0,0.35,93.84001969889172,56.575052829603536
overlapping_shared_target_association,26,axis,0.8,0.16666666666666669,0.35,15.845202825374194,63.38081130149679
overlapping_shared_target_association,26,random,0.8,1.0,0.35,96.44714920216205,61.32500364020471
overlapping_shared_target_association,26,axis,0.8667,0.5,0.35,10.5608276831119,68.66518644375908
overlapping_shared_target_association,26,random,0.8667,1.0,0.35,99.15138524464169,65.98456886294234
overlapping_shared_target_association,26,axis,0.9333,0.0,0.35,5.284375142262292,73.94163898460869
overlapping_shared_target_association,26,random,0.9333,1.0,0.35,101.9284513202631,70.54642118638286
overlapping_shared_target_association,26,axis,1.0,0.0,0.35,4.020512730515414e-15,79.22601412687098
overlapping_shared_target_association,26,random,1.0,1.0,0.35,104.76850289208338,75.02411726880194
overlapping_shared_target_association,30,axis,0.0,1.0,0.35,75.2822871009546,0.0
overlapping_shared_target_association,30,random,0.0,1.0,0.35,75.2822871009546,0.0
overlapping_shared_target_association,30,axis,0.0667,1.0,0.35,70.26095855132093,5.0213285496336715
overlapping_shared_target_association,30,random,0.0667,1.0,0.35,75.12296966740577,5.003897959757039
overlapping_shared_target_association,30,axis,0.1333,1.0,0.35,65.24715823039736,10.035128870557248
overlapping_shared_target_association,30,random,0.1333,1.0,0.35,75.28598864456853,9.998661473996606
overlapping_shared_target_association,30,axis,0.2,1.0,0.35,60.22582968076368,15.056457420190922
