task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
pattern_discrimination,9,axis,0.0,1.0,0.35,81.59427060819556,0.0
pattern_discrimination,9,random,0.0,1.0,0.35,81.59427060819556,0.0
pattern_discrimination,9,axis,0.0667,1.0,0.35,76.15193275862892,5.442337849566643
pattern_discrimination,9,random,0.0667,1.0,0.35,81.40485329095473,5.4224007067122795
pattern_discrimination,9,axis,0.1333,1.0,0.35,70.71775433612308,10.87651627207247
pattern_discrimination,9,random,0.1333,1.0,0.35,81.56002807264166,10.832210363045123
pattern_discrimination,9,axis,0.2,1.0,0.35,65.27541648655645,16.318854121639113
pattern_discrimination,9,random,0.2,1.0,0.35,82.06172496333525,16.249367905122824
pattern_discrimination,9,axis,0.2667,1.0,0.35,59.8330786369898,21.76119197120575
pattern_discrimination,9,random,0.2667,1.0,0.35,82.90712795328739,21.66466025861664
pattern_discrimination,9,axis,0.3333,1.0,0.35,54.39890021448398,27.19537039371158
pattern_discrimination,9,random,0.3333,1.0,0.35,84.08097589539724,27.059271863738715
pattern_discrimination,9,axis,0.4,1.0,0.35,48.95656236491733,32.637708243278226
pattern_discrimination,9,random,0.4,1.0,0.35,85.56412572339113,32.42784047787189
pattern_discrimination,9,axis,0.4667,1.0,0.35,43.51422451535068,38.08004609284487
pattern_discrimination,9,random,0.4667,1.0,0.35,87.32473465147599,37.74101341331596
pattern_discrimination,9,axis,0.5333,1.0,0.35,38.08004609284487,43.51422451535069
pattern_discrimination,9,random,0.5333,1.0,0.35,89.3246392683144,42.97145607085691
pattern_discrimination,9,axis,0.6,1.0,0.35,32.637708243278226,48.95656236491733
pattern_discrimination,9,random,0.6,1.0,0.35,91.53665300933332,48.12884059765548
pattern_discrimination,9,axis,0.6667,0.9375,0.35,27.195370393711585,54.39890021448397
pattern_discrimination,9,random,0.6667,1.0,0.35,93.92306138772715,53.19153610606869
pattern_discrimination,9,axis,0.7333,0.5,0.35,21.761191971205754,59.83307863698979
pattern_discrimination,9,random,0.7333,1.0,0.35,96.44932793438737,58.146223809327154
pattern_discrimination,9,axis,0.8,0.1875,0.35,16.318854121639106,65.27541648655645
pattern_discrimination,9,random,0.8,1.0,0.35,99.09996627124379,63.01289041540027
pattern_discrimination,9,axis,0.8667,0.0,0.35,10.876516272072465,70.7177543361231
pattern_discrimination,9,random,0.8667,1.0,0.35,101.84615387097828,67.78132387615292
pattern_discrimination,9,axis,0.9333,0.0,0.35,5.442337849566642,76.15193275862892
pattern_discrimination,9,random,0.9333,1.0,0.35,104.664778710835,72.4470768807478
pattern_discrimination,9,axis,1.0,0.0,0.35,4.06704429867315e-15,81.59427060819556
pattern_discrimination,9,random,1.0,1.0,0.35,107.5486469515726,77.0278161467673
pattern_discrimination,26,axis,0.0,1.0,0.35,84.86235865736796,0.0
pattern_discrimination,26,random,0.0,1.0,0.35,84.86235865736796,0.0
pattern_discrimination,26,axis,0.0667,1.0,0.35,79.20203933492151,5.660319322446442
pattern_discrimination,26,random,0.0667,1.0,0.35,84.65327183943825,5.63746937465516
pattern_discrimination,26,axis,0.1333,1.0,0.35,73.55020624834081,11.312152409027147
pattern_discrimination,26,random,0.1333,1.0,0.35,84.79899106752428,11.26122108885287
pattern_discrimination,26,axis,0.2,1.0,0.35,67.88988692589436,16.972471731473593
pattern_discrimination,26,random,0.2,1.0,0.35,85.30393732224736,16.893101732743666
pattern_discrimination,26,axis,0.2667,1.0,0.35,62.229567603447926,22.632791053920034
pattern_discrimination,26,random,0.2667,1.0,0.35,86.16618403436834,22.522496817640906
pattern_discrimination,26,axis,0.3333,1.0,0.35,56.57773451686722,28.284624140500735
pattern_discrimination,26,random,0.3333,1.0,0.35,87.37030624722459,28.129067896403505
pattern_discrimination,26,axis,0.4,1.0,0.35,50.91741519442076,33.94494346294718
pattern_discrimination,26,random,0.4,1.0,0.35,88.89385465621835,33.703153229790914
pattern_discrimination,26,axis,0.4667,1.0,0.35,45.257095871974336,39.60526278539362
pattern_discrimination,26,random,0.4667,1.0,0.35,90.70172719911821,39.212133625993076
pattern_discrimination,26,axis,0.5333,1.0,0.35,39.60526278539362,45.257095871974336
pattern_discrimination,26,random,0.5333,1.0,0.35,92.75306570194161,44.62779640534688
pattern_discrimination,26,axis,0.6,0.5625,0.35,33.94494346294719,50.91741519442076
pattern_discrimination,26,random,0.6,1.0,0.35,95.01862131851676,49.95580475367243
pattern_discrimination,26,axis,0.6667,0.5,0.35,28.284624140500743,56.57773451686721
pattern_discrimination,26,random,0.6667,1.0,0.35,97.462032130518,55.18204590371666
pattern_discrimination,26,axis,0.7333,0.5,0.35,22.63279105392004,62.22956760344792
pattern_discrimination,26,random,0.7333,1.0,0.35,100.04967289344454,60.29795798373165
pattern_discrimination,26,axis,0.8,0.0,0.35,16.972471731473586,67.88988692589437
pattern_discrimination,26,random,0.8,1.0,0.35,102.76355155235845,65.31949716802403
pattern_discrimination,26,axis,0.8667,-0.5,0.35,11.312152409027146,73.55020624834081
pattern_discrimination,26,random,0.8667,1.0,0.35,105.5771763982549,70.24051636640915
pattern_discrimination,26,axis,0.9333,0.0,0.35,5.660319322446441,79.20203933492151
pattern_discrimination,26,random,0.9333,1.0,0.35,108.46319234570302,75.05148750339258
pattern_discrimination,26,axis,1.0,0.0,0.35,4.292478512229582e-15,84.86235865736796
pattern_discrimination,26,random,1.0,1.0,0.35,111.4137359045721,79.77059428960101
pattern_discrimination,2,axis,0.0,1.0,0.35,83.49637404125369,0.0
pattern_discrimination,2,random,0.0,1.0,0.35,83.49637404125369,0.0
pattern_discrimination,2,axis,0.0667,1.0,0.35,77.92716589270205,5.56920814855162
pattern_discrimination,2,random,0.0667,1.0,0.35,83.28824810552767,5.547730261396864
pattern_discrimination,2,axis,0.1333,1.0,0.35,72.36630738155456,11.130066659699116
pattern_discrimination,2,random,0.1333,1.0,0.35,83.4327349189746,11.0827405223493
pattern_discrimination,2,axis,0.2,1.0,0.35,66.79709923300294,16.69927480825074
pattern_discrimination,2,random,0.2,1.0,0.35,83.93221004263417,16.62529842172847
pattern_discrimination,2,axis,0.2667,1.0,0.35,61.22789108445133,22.268482956802355
pattern_discrimination,2,random,0.2667,1.0,0.35,84.78333612224658,22.16592450665036
pattern_discrimination,2,axis,0.3333,1.0,0.35,55.667032573303835,27.82934146794985
