task,seed,alpha_star_axis,random_ever_breaks
xor_electrode_classification,1,0.7333,False
xor_electrode_classification,2,0.8,False
xor_electrode_classification,3,1.0,False
xor_electrode_classification,4,0.8667,False
xor_electrode_classification,5,0.7333,False
xor_electrode_classification,6,0.8667,False
xor_electrode_classification,7,0.8,False
xor_electrode_classification,8,0.9333,False
xor_electrode_classification,9,0.8,False
xor_electrode_classification,10,0.8667,False
xor_electrode_classification,11,0.8667,False
xor_electrode_classification,12,0.9333,False
xor_electrode_classification,13,0.8,False
xor_electrode_classification,14,0.7333,False
xor_electrode_classification,15,0.8667,False
xor_electrode_classification,16,0.8667,False
xor_electrode_classification,17,0.8667,False
xor_electrode_classification,18,0.9333,False
xor_electrode_classification,19,0.8667,False
xor_electrode_classification,20,0.8,False
xor_electrode_classification,21,0.9333,False
xor_electrode_classification,22,0.8,False
xor_electrode_classification,23,0.9333,False
xor_electrode_classification,24,0.8667,False
xor_electrode_classification,25,0.8667,False
xor_electrode_classification,26,0.9333,False
xor_electrode_classification,27,0.8667,False
xor_electrode_classification,28,0.8,False
xor_electrode_classification,29,0.7333,False
xor_electrode_classification,30,0.8,False
xor_electrode_classification,31,0.8,False
xor_electrode_classification,32,0.8667,False
xor_electrode_classification,33,0.8667,False
xor_electrode_classification,34,0.8667,False
xor_electrode_classification,35,1.0,False
xor_electrode_classification,36,0.8667,False
xor_electrode_classification,37,0.8667,False
xor_electrode_classification,38,0.8,False
xor_electrode_classification,39,0.8667,False
xor_electrode_classification,40,0.8667,False
xor_electrode_classification,41,0.8,False
xor_electrode_classification,42,0.7333,False
xor_electrode_classification,43,0.8667,False
xor_electrode_classification,44,0.8,False
xor_electrode_classification,45,0.8667,False
xor_electrode_classification,46,0.8667,False
xor_electrode_classification,47,0.7333,False
xor_electrode_classification,48,0.8667,False
xor_electrode_classification,49,0.8667,False
xor_electrode_classification,50,0.8667,False
