task,seed,direction,alpha,score,criterion,distance_from_naive,distance_from_trained
xor_electrode_classification,5,axis,0.0,0.6,0.25,103.15663387467204,0.0
xor_electrode_classification,5,random,0.0,0.6,0.25,103.15663387467204,0.0
xor_electrode_classification,5,axis,0.0667,0.6,0.25,96.27608639523142,6.880547479440624
xor_electrode_classification,5,random,0.0667,0.6,0.25,102.76341463377204,6.8329844164856794
xor_electrode_classification,5,axis,0.1333,0.6,0.25,89.40585457917825,13.750779295493784
xor_electrode_classification,5,random,0.1333,0.6,0.25,102.78875000714685,13.648873559930875
xor_electrode_classification,5,axis,0.2,0.6,0.25,82.52530709973762,20.631326774934408
xor_electrode_classification,5,random,0.2,0.6,0.25,103.24983424576403,20.474903551022972
xor_electrode_classification,5,axis,0.2667,0.6,0.25,75.64475962029701,27.511874254375034
xor_electrode_classification,5,random,0.2667,0.6,0.25,104.14471196976699,27.287281652080843
xor_electrode_classification,5,axis,0.3333,0.6,0.25,68.77452780424385,34.382106070428186
xor_electrode_classification,5,random,0.3333,0.6,0.25,105.44706153527885,34.03658042888828
xor_electrode_classification,5,axis,0.4,0.6,0.25,61.89398032480322,41.262653549868816
xor_electrode_classification,5,random,0.4,0.6,0.25,107.1201230995272,40.699359018741575
xor_electrode_classification,5,axis,0.4667,0.6,0.25,55.013432845362594,48.14320102930944
xor_electrode_classification,5,random,0.4667,0.6,0.25,109.11483803443664,47.234886861519456
xor_electrode_classification,5,axis,0.5333,0.6,0.25,48.14320102930944,55.013432845362594
xor_electrode_classification,5,random,0.5333,0.6,0.25,111.37792748855654,53.61166202408033
xor_electrode_classification,5,axis,0.6,0.6,0.25,41.262653549868816,61.89398032480322
xor_electrode_classification,5,random,0.6,0.6,0.25,113.87504600656109,59.84739105317526
xor_electrode_classification,5,axis,0.6667,0.2666666666666666,0.25,34.38210607042819,68.77452780424383
xor_electrode_classification,5,random,0.6667,0.6,0.25,116.56149881482854,65.9296223447858
xor_electrode_classification,5,axis,0.7333,0.033333333333333326,0.25,27.511874254375037,75.64475962029701
xor_electrode_classification,5,random,0.7333,0.6,0.25,119.39574470181728,71.84658552075467
xor_electrode_classification,5,axis,0.8,0.1333333333333333,0.25,20.6313267749344,82.52530709973763
xor_electrode_classification,5,random,0.8,0.6,0.25,122.36013619270332,77.62698185315861
xor_electrode_classification,5,axis,0.8667,0.1333333333333333,0.25,13.750779295493782,89.40585457917825
xor_electrode_classification,5,random,0.8667,0.6,0.25,125.42579923003161,83.26753728873386
xor_electrode_classification,5,axis,0.9333,0.09166666666666667,0.25,6.880547479440624,96.27608639523142
xor_electrode_classification,5,random,0.9333,0.6,0.25,128.56912249160246,88.76994242602524
xor_electrode_classification,5,axis,1.0,-0.2,0.25,5.16576301531983e-15,103.15663387467204
xor_electrode_classification,5,random,1.0,0.6,0.25,131.787777423953,94.16523709834644
xor_electrode_classification,26,axis,0.0,0.6,0.25,104.36438645029354,0.0
xor_electrode_classification,26,random,0.0,0.6,0.25,104.36438645029354,0.0
xor_electrode_classification,26,axis,0.0667,0.6,0.25,97.40328187405895,6.96110457623458
xor_electrode_classification,26,random,0.0667,0.6,0.25,103.97720456405706,6.911652156042603
xor_electrode_classification,26,axis,0.1333,0.6,0.25,90.45261373646942,13.911772713824131
xor_electrode_classification,26,random,0.1333,0.6,0.25,104.00867916415316,13.805492302321607
xor_electrode_classification,26,axis,0.2,0.6,0.25,83.49150916023483,20.87287729005871
xor_electrode_classification,26,random,0.2,0.6,0.25,104.48096538239585,20.71033561725851
xor_electrode_classification,26,axis,0.2667,0.6,0.25,76.53040458400027,27.83398186629329
xor_electrode_classification,26,random,0.2667,0.6,0.25,105.39013929175655,27.596540638900144
xor_electrode_classification,26,axis,0.3333,0.6,0.25,69.57973644641072,34.78465000388283
xor_electrode_classification,26,random,0.3333,0.6,0.25,106.70931223373094,34.415338511697875
xor_electrode_classification,26,axis,0.4,0.6,0.25,62.618631870176124,41.74575458011742
xor_electrode_classification,26,random,0.4,0.6,0.25,108.40216614368539,41.145417199873435
xor_electrode_classification,26,axis,0.4667,0.6,0.25,55.65752729394154,48.706859156351996
xor_electrode_classification,26,random,0.4667,0.6,0.25,110.4175388054985,47.742043225318405
xor_electrode_classification,26,axis,0.5333,0.6,0.25,48.706859156351996,55.65752729394154
xor_electrode_classification,26,random,0.5333,0.6,0.25,112.70561523808342,54.18371810564368
xor_electrode_classification,26,axis,0.6,0.6,0.25,41.74575458011742,62.61863187017613
xor_electrode_classification,26,random,0.6,0.6,0.25,115.23064972737049,60.4855503573499
xor_electrode_classification,26,axis,0.6667,0.6,0.25,34.78465000388284,69.5797364464107
xor_electrode_classification,26,random,0.6667,0.6,0.25,117.94663640721782,66.63053292510132
xor_electrode_classification,26,axis,0.7333,0.6,0.25,27.833981866293293,76.53040458400025
xor_electrode_classification,26,random,0.7333,0.6,0.25,120.8153611459333,72.61462540030533
xor_electrode_classification,26,axis,0.8,0.2666666666666666,0.25,20.872877290058703,83.49150916023484
xor_electrode_classification,26,random,0.8,0.6,0.25,123.81616189533435,78.46142413821654
xor_electrode_classification,26,axis,0.8667,0.4666666666666666,0.25,13.911772713824124,90.45261373646943
xor_electrode_classification,26,random,0.8667,0.6,0.25,126.91656707129336,84.16260119983761
xor_electrode_classification,26,axis,0.9333,0.1333333333333333,0.25,6.961104576234577,97.40328187405895
xor_electrode_classification,26,random,0.9333,0.6,0.25,130.0933944447691,89.7210631820991
xor_electrode_classification,26,axis,1.0,0.04999999999999999,0.25,5.258326581012654e-15,104.36438645029354
xor_electrode_classification,26,random,1.0,0.6,0.25,133.34641877982222,95.17155116190804
xor_electrode_classification,2,axis,0.0,0.6,0.25,104.01412265056562,0.0
xor_electrode_classification,2,random,0.0,0.6,0.25,104.01412265056562,0.0
xor_electrode_classification,2,axis,0.0667,0.6,0.25,97.0763806697729,6.937741980792726
xor_electrode_classification,2,random,0.0667,0.6,0.25,103.61755129979151,6.887768865950189
xor_electrode_classification,2,axis,0.1333,0.6,0.25,90.14904010124522,13.865082549320396
xor_electrode_classification,2,random,0.1333,0.6,0.25,103.63754233493157,13.757458826807003
xor_electrode_classification,2,axis,0.2,0.6,0.25,83.2112981204525,20.802824530113128
xor_electrode_classification,2,random,0.2,0.6,0.25,104.09685695274392,20.637139120101576
xor_electrode_classification,2,axis,0.2667,0.6,0.25,76.27355613965977,27.740566510905847
xor_electrode_classification,2,random,0.2667,0.6,0.25,104.99281114734553,27.502654214616854
xor_electrode_classification,2,axis,0.3333,0.6,0.25,69.3462155711321,34.667907079433526
xor_electrode_classification,2,random,0.3333,0.6,0.25,106.29716890752229,34.298705880055344
xor_electrode_classification,2,axis,0.4,0.6,0.25,62.40847359033938,41.60564906022625
xor_electrode_classification,2,random,0.4,0.6,0.25,107.97441153455198,41.00731197154943
xor_electrode_classification,2,axis,0.4667,0.6,0.25,55.47073160954665,48.54339104101898
xor_electrode_classification,2,random,0.4667,0.6,0.25,109.9765285720513,47.58982680793723
xor_electrode_classification,2,axis,0.5333,0.6,0.25,48.54339104101898,55.47073160954665
xor_electrode_classification,2,random,0.5333,0.6,0.25,112.24939322819758,54.012707142971145
xor_electrode_classification,2,axis,0.6,0.6,0.25,41.60564906022625,62.408473590339376
xor_electrode_classification,2,random,0.6,0.6,0.25,114.75700308641666,60.29330470587839
xor_electrode_classification,2,axis,0.6667,0.775,0.25,34.667907079433526,69.34621557113209
xor_electrode_classification,2,random,0.6667,0.6,0.25,117.4531662141189,66.41357241718265
xor_electrode_classification,2,axis,0.7333,0.55,0.25,27.740566510905854,76.27355613965976
xor_electrode_classification,2,random,0.7333,0.6,0.25,120.29651971785731,72.3653499122683
xor_electrode_classification,2,axis,0.8,0.1333333333333333,0.25,20.80282453011312,83.2112981204525
xor_electrode_classification,2,random,0.8,0.6,0.25,123.27115880210648,78.17978872401767
xor_electrode_classification,2,axis,0.8667,-0.15833333333333335,0.25,13.865082549320395,90.14904010124522
xor_electrode_classification,2,random,0.8667,0.6,0.25,126.34902933594618,83.85541804358355
xor_electrode_classification,2,axis,0.9333,-0.2,0.25,6.937741980792725,97.0763806697729
xor_electrode_classification,2,random,0.9333,0.6,0.25,129.50257916152395,89.38829715850014
xor_electrode_classification,2,axis,1.0,-0.2,0.25,5.2752755509479245e-15,104.01412265056562
xor_electrode_classification,2,random,1.0,0.6,0.25,132.73403960815833,94.81602278973162
xor_electrode_classification,23,axis,0.0,0.6,0.25,105.42124574245052,0.0
xor_electrode_classification,23,random,0.0,0.6,0.25,105.42124574245052,0.0
xor_electrode_classification,23,axis,0.0667,0.6,0.25,98.38964865142908,7.0315970910214505
xor_electrode_classification,23,random,0.0667,0.6,0.25,105.02264347597874,6.978927279605186
xor_electrode_classification,23,axis,0.1333,0.6,0.25,91.36859368498187,14.052652057468654
xor_electrode_classification,23,random,0.1333,0.6,0.25,105.04231186236674,13.938767188150646
xor_electrode_classification,23,axis,0.2,0.6,0.25,84.33699659396044,21.08424914849011
xor_electrode_classification,23,random,0.2,0.6,0.25,105.50632583662983,20.908872425158037
xor_electrode_classification,23,axis,0.2667,0.6,0.25,77.30539950293898,28.11584623951156
xor_electrode_classification,23,random,0.2667,0.6,0.25,106.41160861785939,27.85952131552886
xor_electrode_classification,23,axis,0.3333,0.6,0.25,70.28434453649177,35.13690120595876
xor_electrode_classification,23,random,0.3333,0.6,0.25,107.72949475950605,34.735370582365846
xor_electrode_classification,23,axis,0.4,0.6,0.25,63.25274744547032,42.16849829698022
xor_electrode_classification,23,random,0.4,0.6,0.25,109.42204605525767,41.51640308634404
xor_electrode_classification,23,axis,0.4667,0.6,0.25,56.221150354448866,49.200095388001664
xor_electrode_classification,23,random,0.4667,0.6,0.25,111.43809585839958,48.16186408795044
xor_electrode_classification,23,axis,0.5333,0.6,0.25,49.200095388001664,56.221150354448866
xor_electrode_classification,23,random,0.5333,0.6,0.25,113.72735457675233,54.64881182215104
xor_electrode_classification,23,axis,0.6,0.6,0.25,42.16849829698022,63.25274744547032
xor_electrode_classification,23,random,0.6,0.6,0.25,116.25716062289005,60.997911588702245
xor_electrode_classification,23,axis,0.6667,0.6,0.25,35.136901205958765,70.28434453649177
xor_electrode_classification,23,random,0.6667,0.6,0.25,118.97803103681035,67.186377734061
xor_electrode_classification,23,axis,0.7333,0.5583333333333333,0.25,28.115846239511566,77.30539950293897
xor_electrode_classification,23,random,0.7333,0.6,0.25,121.85234028889658,73.21169625771635
xor_electrode_classification,23,axis,0.8,0.4666666666666666,0.25,21.084249148490102,84.33699659396044
xor_electrode_classification,23,random,0.8,0.6,0.25,124.85748380368638,79.09454503299446
xor_electrode_classification,23,axis,0.8667,0.2583333333333333,0.25,14.052652057468652,91.36859368498187
xor_electrode_classification,23,random,0.8667,0.6,0.25,127.96518853827386,84.83429358170723
xor_electrode_classification,23,axis,0.9333,0.1333333333333333,0.25,7.03159709102145,98.38964865142908
xor_electrode_classification,23,random,0.9333,0.6,0.25,131.15514639491522,90.43706597377722
xor_electrode_classification,23,axis,1.0,-0.2,0.25,5.301714549686163e-15,105.42124574245052
xor_electrode_classification,23,random,1.0,0.6,0.25,134.41279654295,95.91698972353615
xor_electrode_classification,31,axis,0.0,0.6,0.25,105.4695134783367,0.0
xor_electrode_classification,31,random,0.0,0.6,0.25,105.4695134783367,0.0
xor_electrode_classification,31,axis,0.0667,0.6,0.25,98.43469692933164,7.034816549005056
xor_electrode_classification,31,random,0.0667,0.6,0.25,105.07567068624375,6.983826615220043
xor_electrode_classification,31,axis,0.1333,0.6,0.25,91.4104273316744,14.059086146662281
xor_electrode_classification,31,random,0.1333,0.6,0.25,105.09989871424655,13.949132762153674
xor_electrode_classification,31,axis,0.2,0.6,0.25,84.37561078266936,21.093902695667342
xor_electrode_classification,31,random,0.2,0.6,0.25,105.56939580577739,20.926216091510213
xor_electrode_classification,31,axis,0.2667,0.6,0.25,77.3407942336643,28.128719244672396
xor_electrode_classification,31,random,0.2667,0.6,0.25,106.48270654143094,27.88784689630937
xor_electrode_classification,31,axis,0.3333,0.6,0.25,70.31652463600707,35.15298884232962
xor_electrode_classification,31,random,0.3333,0.6,0.25,107.81183823835714,34.78147760977948
xor_electrode_classification,31,axis,0.4,0.6,0.25,63.28170808700201,42.18780539133468
xor_electrode_classification,31,random,0.4,0.6,0.25,109.51547263489383,41.577164951684324
xor_electrode_classification,31,axis,0.4667,0.6,0.25,56.24689153799696,49.222621940339735
xor_electrode_classification,31,random,0.4667,0.6,0.25,111.54441040612093,48.238361322224456
