task,task_label,component,variance_explained,cumulative_variance_explained,singular_value
conditioned_electrode_association,Association,1,0.17871866408191522,0.17871866408191522,1.3295324976487881
conditioned_electrode_association,Association,2,0.1453549515793166,0.32407361566123183,1.199026876116425
conditioned_electrode_association,Association,3,0.10620255033568098,0.4302761659969128,1.0248999583511234
conditioned_electrode_association,Association,4,0.09332323125094617,0.523599397247859,0.96074666648068
conditioned_electrode_association,Association,5,0.07649979032310472,0.6000991875709637,0.869849513490596
conditioned_electrode_association,Association,6,0.05277575974756929,0.652874947318533,0.7224890170190948
conditioned_electrode_association,Association,7,0.0463089452931104,0.6991838926116434,0.6767783346735939
conditioned_electrode_association,Association,8,0.045499233545237695,0.7446831261568811,0.6708355091268953
conditioned_electrode_association,Association,9,0.03771661664737438,0.7823997428042555,0.6107737538641199
conditioned_electrode_association,Association,10,0.03410423373290557,0.8165039765371611,0.580788690009629
conditioned_electrode_association,Association,11,0.02788191917081201,0.8443858957079731,0.5251402836691519
conditioned_electrode_association,Association,12,0.02153266430729658,0.8659185600152697,0.4614906297651178
conditioned_electrode_association,Association,13,0.018979572364843243,0.884898132380113,0.4332685981596341
conditioned_electrode_association,Association,14,0.01605571455081413,0.9009538469309271,0.39850045507666026
conditioned_electrode_association,Association,15,0.01249964832548119,0.9134534952564083,0.3516113613904391
conditioned_electrode_association,Association,16,0.011807056671321502,0.9252605519277297,0.34173135325037796
conditioned_electrode_association,Association,17,0.011553869373282333,0.936814421301012,0.3380475004482572
conditioned_electrode_association,Association,18,0.008291925495728424,0.9451063467967404,0.28637934940037857
conditioned_electrode_association,Association,19,0.00716518088466126,0.9522715276814017,0.2662119715562959
conditioned_electrode_association,Association,20,0.00656044894200267,0.9588319766234044,0.254730402850427
conditioned_electrode_association,Association,21,0.005627623747437213,0.9644596003708416,0.2359263937233372
conditioned_electrode_association,Association,22,0.00452893714920326,0.9689885375200448,0.2116470158146272
conditioned_electrode_association,Association,23,0.0038769009446505973,0.9728654384646954,0.19581968829865207
