protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.875,1.0,-0.125,0.125,0.4,1.0,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,314.39232471448696,0.0,314.39232471448696,-4.230395206948186,1.637175950364167e-11,0.16146639421436731,1.0,0.07078848323166928,2206892.98,0.0,0.0,1.0,0.875,1.0,1.0,0.2317521232998115,50
b0_chirp_shared_3s_50uA,conditioned_electrode_association,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.8775,1.0,-0.1225,0.1225,0.4,0.98,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,250.88919286406923,0.0,250.88919286406923,-3.221094727929952,1.637175950364167e-11,0.21904408219208374,1.0,0.027727970050174577,1432681.14,0.0,0.0,1.0,0.8775,1.0,1.0,0.21843486069905338,50
b-2_chirp_correlated_3s_50uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.88,1.0,-0.12,0.12,0.4,0.96,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,213.5521398180161,0.0,213.5521398180161,-2.6350476211799485,1.637175950364167e-11,0.26486947401946215,1.0,0.005766824805808234,1128598.54,0.0,0.0,1.0,0.88,1.0,1.0,0.21575912083935692,50
b2_chirp_shared_3s_50uA,conditioned_electrode_association,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.92,1.0,-0.08,0.08,0.4,0.64,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,158.18778212986268,0.0,158.18778212986268,-1.7831744076063052,1.637175950364167e-11,0.36041892812088555,1.0,-0.01165333515405641,874575.68,0.0,0.0,1.0,0.92,1.0,1.0,0.21056295829970623,50
b0_chirp_correlated_3s_50uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9225,1.0,-0.0775,0.0775,0.4,0.62,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,112.06577352728613,0.0,112.06577352728613,-1.1000458607612091,1.637175950364167e-11,0.48319739141158197,1.0,-0.01891961402737711,663446.1,0.0,0.0,1.0,0.9225,1.0,1.0,0.20996467577904696,50
b2_chirp_correlated_3s_50uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,50.0,160,1015.54,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.94,1.0,-0.06,0.06,0.4,0.48,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,68.45091236132743,0.0,68.45091236132743,-0.5174026344488543,1.637175950364167e-11,0.6728084982504621,1.0,-0.02166061703607921,410003.14,0.0,0.0,1.0,0.94,1.0,1.0,0.20807341500010806,50
b-2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9475,1.0,-0.0525,0.0525,0.4,0.42,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,75.89791973557215,0.0,75.89791973557215,-0.6116766455842793,1.637175950364167e-11,0.6349289521380403,1.0,-0.020088546903263782,515526.98,0.0,0.0,1.0,0.9475,1.0,1.0,0.20829051913984586,50
b-2_static_shared_3s_50uA,conditioned_electrode_association,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.95,1.0,-0.05,0.05,0.4,0.4,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,102.16975095299098,0.0,102.16975095299098,-0.9619798875554418,1.637175950364167e-11,0.5198674403174585,1.0,-0.018367866656203796,695624.9,0.0,0.0,1.0,0.95,1.0,1.0,0.2095736058196053,50
b0_epoch_pause_shared_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,shared,3.0,50.0,160,751.82,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9625,1.0,-0.0375,0.0375,0.4,0.3,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,41.23052097636349,0.0,41.23052097636349,-0.2209758095451247,1.637175950364167e-11,0.8330498045799613,1.0,-0.015712831014398833,262253.44,0.0,0.0,1.0,0.9625,1.0,1.0,0.20802775423944694,50
b0_static_shared_3s_50uA,conditioned_electrode_association,0.0,static,shared,3.0,50.0,160,1053.58,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9675,1.0,-0.0325,0.0325,0.4,0.26,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,55.3441644200714,0.0,55.3441644200714,-0.36730827607036276,1.637175950364167e-11,0.7487784001850156,1.0,-0.02155727013641576,381445.28,0.0,0.0,1.0,0.9675,1.0,1.0,0.20754674244089982,50
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,690.74,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.98,1.0,-0.02,0.02,0.4,0.16,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,38.328439006368534,0.0,38.328439006368534,-0.19614623830112318,1.637175950364167e-11,0.8501874032751957,1.0,-0.015721927989066922,237272.08,0.0,0.0,1.0,0.98,1.0,1.0,0.20730878411995945,50
b-2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.985,1.0,-0.015,0.015,0.4,0.12,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,54.21251548993506,0.0,54.21251548993506,-0.3541492005219442,1.637175950364167e-11,0.7551590831435301,1.0,-0.020560533923291175,369722.42,0.0,0.0,1.0,0.985,1.0,1.0,0.2069109833787661,50
b0_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.985,1.0,-0.015,0.015,0.4,0.12,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,54.21251548993506,0.0,54.21251548993506,-0.3541492005219442,1.637175950364167e-11,0.7551590831435301,1.0,-0.020560533923291175,369722.42,0.0,0.0,1.0,0.985,1.0,1.0,0.20717839920020198,50
b2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.985,1.0,-0.015,0.015,0.4,0.12,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,54.21251548993506,0.0,54.21251548993506,-0.3541492005219442,1.637175950364167e-11,0.7551590831435301,1.0,-0.020560533923291175,369722.42,0.0,0.0,1.0,0.985,1.0,1.0,0.2072098491806537,50
b-2_static_correlated_3s_50uA,conditioned_electrode_association,-2.0,static,correlated,3.0,50.0,160,893.08,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.985,1.0,-0.015,0.015,0.4,0.12,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,48.87555353165531,0.0,48.87555353165531,-0.29367443633590645,1.637175950364167e-11,0.7851327598427786,1.0,-0.015380774348204175,270899.3,0.0,0.0,1.0,0.985,1.0,1.0,0.20698780827922747,50
b-2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,correlated,3.0,50.0,160,640.44,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,36.74730197625397,0.0,36.74730197625397,-0.17767246062284583,1.637175950364167e-11,0.8594124527128166,1.0,-0.011905439057477868,187684.08,0.0,0.0,1.0,0.9875,1.0,1.0,0.20692096250102623,50
b0_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,correlated,3.0,50.0,160,437.86,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,25.87285615276518,0.0,25.87285615276518,-0.09147579499367435,1.637175950364167e-11,0.9212326787058406,1.0,-0.005373626402236053,106926.44,0.0,0.0,1.0,0.9875,1.0,1.0,0.20754847837990384,50
b2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,shared,3.0,50.0,160,498.12,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.99,1.0,-0.01,0.01,0.4,0.08,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,28.951303410553308,0.0,28.951303410553308,-0.11764331368216027,1.637175950364167e-11,0.9049065500083079,1.0,-0.010810396649075299,161236.44,0.0,0.0,1.0,0.99,1.0,1.0,0.20623652010021032,50
b-2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9925,1.0,-0.0075,0.0075,0.4,0.06,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,32.2517516945414,0.0,32.2517516945414,-0.13993661441499072,1.637175950364167e-11,0.8857511051552059,1.0,-0.009382679309405647,150563.6,0.0,0.0,1.0,0.9925,1.0,1.0,0.206861302521138,50
b0_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9925,1.0,-0.0075,0.0075,0.4,0.06,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,32.2517516945414,0.0,32.2517516945414,-0.13993661441499072,1.637175950364167e-11,0.8857511051552059,1.0,-0.009382679309405647,150563.6,0.0,0.0,1.0,0.9925,1.0,1.0,0.20696699169988278,50
b2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,correlated,3.0,50.0,160,566.22,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9925,1.0,-0.0075,0.0075,0.4,0.06,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,32.2517516945414,0.0,32.2517516945414,-0.13993661441499072,1.637175950364167e-11,0.8857511051552059,1.0,-0.009382679309405647,150563.6,0.0,0.0,1.0,0.9925,1.0,1.0,0.20563787419931032,50
b2_static_correlated_3s_50uA,conditioned_electrode_association,2.0,static,correlated,3.0,50.0,160,399.3,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.9925,1.0,-0.0075,0.0075,0.4,0.06,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,23.89967317720846,0.0,23.89967317720846,-0.08027157419429207,1.637175950364167e-11,0.9315249128390266,1.0,-0.006257422298125468,99081.76,0.0,0.0,1.0,0.9925,1.0,1.0,0.20613807667978107,50
b0_static_correlated_3s_50uA,conditioned_electrode_association,0.0,static,correlated,3.0,50.0,160,610.64,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,33.96583241381948,0.0,33.96583241381948,-0.1533099252974803,1.637175950364167e-11,0.8756306064919357,1.0,-0.009395381681034319,153827.0,0.0,0.0,1.0,0.995,1.0,1.0,0.20663987999985692,50
b2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,2.0,epoch_pause,correlated,3.0,50.0,160,285.9,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,18.38973785917397,0.0,18.38973785917397,-0.04839210012110676,1.637175950364167e-11,0.9573143934851047,1.0,-0.003636649934666566,67443.2,0.0,0.0,1.0,0.995,1.0,1.0,0.20572576080041471,50
b2_chirp_shared_3s_10uA,conditioned_electrode_association,2.0,chirp,shared,3.0,10.0,160,1744.34,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,6.758610721949845,0.0,6.758610721949845,-0.006635604470277781,1.637175950364167e-11,0.9930355530269915,1.0,0.00040407813655841035,13381.22,0.0,0.0,1.0,0.995,1.0,1.0,0.20592102999915368,50
b-2_chirp_correlated_3s_10uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,10.0,160,2185.1,0.0,1.0,1.0,80.0,20.4,20.4,1.0,0.995,1.0,-0.005,0.005,0.4,0.04,0.0,0.0,0.0,-1.0,-1.0,61.17383511349047,61.17383511349047,2.993803022372306,0.0,2.993803022372306,-0.001349908722364479,1.637175950364167e-11,0.9987004459857761,1.0,-5.4965262282822414e-05,3598.58,0.0,0.0,1.0,0.995,1.0,1.0,0.2064528858405538,50
