protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b0_chirp_shared_3s_50uA,multi_association_mapping,0.0,chirp,shared,3.0,50.0,160,2596.9,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.6516666666666667,0.8966666666666667,-0.24499999999999994,0.24499999999999994,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,248.69544506054692,0.0,248.69544506054692,-1.4280415511401008,8.979914589701821e-12,0.37320958248462416,1.0,0.04612787915810489,1488664.32,0.0,0.0,1.0,0.6516666666666667,1.0,1.0,4.200667294860034,50
b-2_chirp_shared_3s_50uA,multi_association_mapping,-2.0,chirp,shared,3.0,50.0,160,3742.38,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.651875,0.8966666666666667,-0.2447916666666666,0.2447916666666666,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,308.466316185079,0.0,308.466316185079,-1.9126651822105445,8.979914589701821e-12,0.28272131581915505,1.0,0.09496742365215109,2277043.28,0.0,0.0,1.0,0.651875,1.0,1.0,4.388688064800019,50
b-2_chirp_correlated_3s_50uA,multi_association_mapping,-2.0,chirp,correlated,3.0,50.0,160,2185.1,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.6533333333333333,0.8966666666666667,-0.24333333333333326,0.24333333333333326,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,213.9374879496917,0.0,213.9374879496917,-1.1562141613717347,8.979914589701821e-12,0.43852151520371146,1.0,0.02163809992608424,1169100.14,0.0,0.0,1.0,0.6533333333333333,1.0,1.0,4.063130731139999,50
b0_chirp_correlated_3s_50uA,multi_association_mapping,0.0,chirp,correlated,3.0,50.0,160,1507.12,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.6825,0.8966666666666667,-0.21416666666666662,0.21416666666666662,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,121.70273936818609,0.0,121.70273936818609,-0.4870272117687901,8.979914589701821e-12,0.6711313864196885,1.0,-0.007154520297523745,691273.82,0.0,0.0,1.0,0.6825,1.0,1.0,3.8699306909799907,50
b2_chirp_shared_3s_50uA,multi_association_mapping,2.0,chirp,shared,3.0,50.0,160,1744.34,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.6829166666666667,0.8966666666666667,-0.21374999999999994,0.21374999999999994,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,164.671408756287,0.0,164.671408756287,-0.7856244923598322,8.979914589701821e-12,0.5503832847440665,1.0,0.001634893805617074,910056.56,0.0,0.0,1.0,0.6829166666666667,1.0,1.0,3.9380793987999914,50
b-2_static_shared_3s_50uA,multi_association_mapping,-2.0,static,shared,3.0,50.0,160,1539.82,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.7035416666666667,0.8966666666666667,-0.19312499999999994,0.19312499999999994,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,113.8432063650589,0.0,113.8432063650589,-0.4371953417877243,8.979914589701821e-12,0.6962472849253278,1.0,-0.007360631668096635,731212.7,0.0,0.0,1.0,0.7035416666666667,1.0,1.0,3.8586411550399875,50
b-2_epoch_pause_shared_3s_50uA,multi_association_mapping,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.7204166666666667,0.8966666666666667,-0.17624999999999993,0.17624999999999993,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,87.60507764542979,0.0,87.60507764542979,-0.28413276302211954,8.979914589701821e-12,0.7854930526517033,1.0,-0.012295752620451135,542035.68,0.0,0.0,1.0,0.7204166666666667,1.0,1.0,3.8494703805400103,50
b2_chirp_correlated_3s_50uA,multi_association_mapping,2.0,chirp,correlated,3.0,50.0,160,1015.54,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.743125,0.8966666666666667,-0.1535416666666666,0.1535416666666666,0.3,0.98,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,77.64248887481071,0.0,77.64248887481071,-0.23228015827448836,8.979914589701821e-12,0.8210887883213807,1.0,-0.015318171131114498,428151.3,0.0,0.0,1.0,0.743125,1.0,1.0,3.8422371536399895,50
b-2_gated_burst_shared_3s_50uA,multi_association_mapping,-2.0,gated_burst,shared,3.0,50.0,160,1061.26,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.7433333333333333,0.8966666666666667,-0.15333333333333327,0.15333333333333327,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,149.47461393211086,0.0,149.47461393211086,-0.6792888520513566,8.979914589701821e-12,0.5923088769795115,1.0,-0.00654670316164804,668810.58,0.0,0.0,1.0,0.7433333333333333,1.0,1.0,3.8032593755000064,50
b0_gated_burst_shared_3s_50uA,multi_association_mapping,0.0,gated_burst,shared,3.0,50.0,160,1062.96,-0.0802083333333333,0.8947916666666668,0.975,80.0,16.5,16.5,1.0,0.74375,0.8966666666666667,-0.15291666666666662,0.15291666666666662,0.3,1.0,0.0,0.0,-0.07979166666666664,-0.9745833333333335,-0.9764583333333334,111.41546876133394,111.41546876133394,149.45339095874363,0.0,149.45339095874363,-0.6792586693069922,8.979914589701821e-12,0.5929609389495412,1.0,-0.0071941264254020264,668653.0,0.0,0.0,1.0,0.74375,1.0,1.0,3.7809637740399875,50
