protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_input_association,-2.0,chirp,shared,3.0,50.0,160,3742.38,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,309.61942352468867,0.0,309.61942352468867,-2.3038408070984597,1.0252967364010602e-11,0.2510258780301254,1.0,0.08362349962606831,2252263.92,0.0,0.0,1.0,0.65625,1.0,0.8,1.7057177065799989,50
b0_chirp_shared_3s_50uA,overlapping_shared_input_association,0.0,chirp,shared,3.0,50.0,160,2596.9,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.656875,0.75,-0.093125,0.093125,0.25,1.0,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,248.26097979243602,0.0,248.26097979243602,-1.7169452382898134,1.0252967364010602e-11,0.33078320802785494,1.0,0.050112892589309246,1469725.32,0.0,0.0,1.0,0.656875,1.0,0.8,1.6149200229399991,50
b-2_chirp_correlated_3s_50uA,overlapping_shared_input_association,-2.0,chirp,correlated,3.0,50.0,160,2185.1,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.6575,0.75,-0.0925,0.0925,0.25,1.0,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,212.85261575242848,0.0,212.85261575242848,-1.3885290791081437,1.0252967364010602e-11,0.391191676537367,1.0,0.030232274165516094,1157171.72,0.0,0.0,1.0,0.6575,1.0,0.8,1.5752382970599967,50
b0_chirp_correlated_3s_50uA,overlapping_shared_input_association,0.0,chirp,correlated,3.0,50.0,160,1507.12,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.6825,0.75,-0.0675,0.0675,0.25,0.86,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,118.69257473134068,0.0,118.69257473134068,-0.5732972626371536,1.0252967364010602e-11,0.626841476398642,1.0,0.004804062953812357,683406.1,0.0,0.0,1.0,0.6825,1.0,0.8,1.4941882363399985,50
b2_chirp_shared_3s_50uA,overlapping_shared_input_association,2.0,chirp,shared,3.0,50.0,160,1744.34,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.69125,0.75,-0.05875,0.05875,0.25,0.74,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,161.83960354184853,0.0,161.83960354184853,-0.9322002170311048,1.0252967364010602e-11,0.5026752682004951,1.0,0.012608452665211432,899273.66,0.0,0.0,1.0,0.69125,1.0,0.8,1.512852071660002,50
b2_chirp_correlated_3s_50uA,overlapping_shared_input_association,2.0,chirp,correlated,3.0,50.0,160,1015.54,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.70375,0.75,-0.04625,0.04625,0.25,0.64,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,75.362334769397,0.0,75.362334769397,-0.2704024911025752,1.0252967364010602e-11,0.790366347319579,1.0,-0.00747571419070392,422942.86,0.0,0.0,1.0,0.70375,1.0,0.8,1.4738762594199806,50
b-2_static_shared_3s_50uA,overlapping_shared_input_association,-2.0,static,shared,3.0,50.0,160,1539.82,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.705625,0.75,-0.044375,0.044375,0.25,0.58,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,110.50878325067107,0.0,110.50878325067107,-0.5088562756572966,1.0252967364010602e-11,0.6539657042651179,1.0,0.007524445386869827,721306.3,0.0,0.0,1.0,0.705625,1.0,0.8,1.5075849814199966,50
b-2_epoch_pause_shared_3s_50uA,overlapping_shared_input_association,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.709375,0.75,-0.040625,0.040625,0.25,0.6,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,85.0496888719605,0.0,85.0496888719605,-0.33060013618502615,1.0252967364010602e-11,0.7502111502501454,1.0,-0.0007745399734291443,534315.98,0.0,0.0,1.0,0.709375,1.0,0.8,1.519098852580003,50
b0_epoch_pause_shared_3s_50uA,overlapping_shared_input_association,0.0,epoch_pause,shared,3.0,50.0,160,751.82,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.715,0.75,-0.035,0.035,0.25,0.44,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,46.117262719018356,0.0,46.117262719018356,-0.11396194635607071,1.0252967364010602e-11,0.9036319111404642,1.0,-0.007168318639484218,274262.5,0.0,0.0,1.0,0.715,1.0,0.8,1.45158089344,50
b0_static_shared_3s_50uA,overlapping_shared_input_association,0.0,static,shared,3.0,50.0,160,1053.58,-0.1025,0.75,0.8525,80.0,5.0,5.0,1.0,0.72125,0.75,-0.02875,0.02875,0.25,0.44,0.0,0.0,-0.10375,-0.85375,-0.85375,97.61910530556948,97.61910530556948,62.26005205614405,0.0,62.26005205614405,-0.19356644079822996,1.0252967364010602e-11,0.8425853769317991,1.0,-0.006797000549903314,398299.2,0.0,0.0,1.0,0.72125,1.0,0.8,1.4600379023999936,50
