protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_target_association,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.5833333333333333,0.955,-0.3716666666666667,0.3716666666666667,0.35,1.0,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,311.34357053990226,0.0,311.34357053990226,-2.958825235276657,1.2348233546788379e-11,0.21657744375316249,1.0,0.058491147521466474,2223945.64,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.336408885820004,50
b0_chirp_shared_3s_50uA,overlapping_shared_target_association,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.6099999999999999,0.955,-0.345,0.345,0.35,0.98,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,248.08490381991268,0.0,248.08490381991268,-2.2145406907855927,1.2348233546788379e-11,0.2875902616041125,1.0,0.027089065820253357,1446133.44,0.0,0.0,1.0,0.6099999999999999,1.0,1.0,1.2549691558400036,50
b-2_chirp_correlated_3s_50uA,overlapping_shared_target_association,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.6591666666666666,0.955,-0.29583333333333334,0.29583333333333334,0.35,1.0,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,211.00348166375,0.0,211.00348166375,-1.7862503808597836,1.2348233546788379e-11,0.3424254673578113,1.0,0.012965445747862283,1139107.12,0.0,0.0,1.0,0.6591666666666666,1.0,1.0,1.2237790203999988,50
b2_chirp_shared_3s_50uA,overlapping_shared_target_association,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.7383333333333333,0.955,-0.21666666666666665,0.21666666666666665,0.35,0.9,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,156.6268399545869,0.0,156.6268399545869,-1.1787176291688606,1.2348233546788379e-11,0.45283908753591057,1.0,0.001624698015452652,883911.58,0.0,0.0,1.0,0.7383333333333333,1.0,1.0,1.1828011789999915,50
b0_gated_burst_shared_3s_50uA,overlapping_shared_target_association,0.0,gated_burst,shared,3.0,50.0,160,1062.96,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.795,0.955,-0.15999999999999995,0.15999999999999995,0.35,0.56,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,142.2740943916058,0.0,142.2740943916058,-1.0259662468489068,1.2348233546788379e-11,0.4920664769869399,1.0,-0.0054218508028413305,653896.74,0.0,0.0,1.0,0.795,1.0,1.0,1.141764422660001,50
b-2_gated_burst_shared_3s_50uA,overlapping_shared_target_association,-2.0,gated_burst,shared,3.0,50.0,160,1061.26,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.8266666666666667,0.955,-0.1283333333333333,0.1283333333333333,0.35,0.48,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,142.1168736679134,0.0,142.1168736679134,-1.0246414568537006,1.2348233546788379e-11,0.4920903292040727,1.0,-0.005192867857107086,653433.48,0.0,0.0,1.0,0.8266666666666667,1.0,1.0,1.1444989686800011,50
b0_chirp_correlated_3s_50uA,overlapping_shared_target_association,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.8358333333333333,0.955,-0.11916666666666666,0.11916666666666666,0.35,0.9,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,111.66113324211274,0.0,111.66113324211274,-0.7058432467832216,1.2348233546788379e-11,0.5833289621060631,1.0,-0.0013709083085042938,671265.7,0.0,0.0,1.0,0.8358333333333333,1.0,1.0,1.1621955052399995,50
b2_gated_burst_shared_3s_50uA,overlapping_shared_target_association,2.0,gated_burst,shared,3.0,50.0,160,1088.92,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.8575,0.955,-0.09749999999999996,0.09749999999999996,0.35,0.4,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,125.94139909146881,0.0,125.94139909146881,-0.8558639528493783,1.2348233546788379e-11,0.5422495580866458,1.0,-0.007974725728751384,625825.18,0.0,0.0,1.0,0.8575,1.0,1.0,1.146185199040001,50
b-2_static_shared_3s_50uA,overlapping_shared_target_association,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.8725,0.955,-0.08249999999999998,0.08249999999999998,0.35,0.78,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,102.24029758701519,0.0,102.24029758701519,-0.6151473972921452,1.2348233546788379e-11,0.6187953412095549,1.0,-0.001369108801051554,705264.8,0.0,0.0,1.0,0.8725,1.0,1.0,1.193565434619999,50
b2_chirp_correlated_3s_50uA,overlapping_shared_target_association,2.0,chirp,correlated,3.0,50.0,160,1015.54,0.0,0.9533333333333333,0.9533333333333333,80.0,19.16,19.16,1.0,0.8891666666666667,0.955,-0.06583333333333331,0.06583333333333331,0.35,0.82,0.0,0.0,0.0,-0.9533333333333333,-0.955,81.07147814177519,81.07147814177519,69.59541784486328,0.0,69.59541784486328,-0.3239191734855202,1.2348233546788379e-11,0.7581886671869378,1.0,-0.006219720039985438,414949.32,0.0,0.0,1.0,0.8891666666666667,1.0,1.0,1.1427330731800067,50
