protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,pattern_discrimination,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.4375,0.965,-0.5275,0.5275,0.35,1.0,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,311.2475133742586,0.0,311.2475133742586,-2.779283299713423,1.1764933471880568e-11,0.22552372995901268,1.0,0.06582822711165663,2231804.2,0.0,0.0,1.0,0.4375,1.0,1.0,0.5696961441598251,50
b-2_chirp_correlated_3s_50uA,pattern_discrimination,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.4375,0.965,-0.5275,0.5275,0.35,1.0,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,213.27150465716682,0.0,213.27150465716682,-1.699497298769433,1.1764933471880568e-11,0.3567210556828935,1.0,0.004951088208766777,1142554.04,0.0,0.0,1.0,0.4375,1.0,1.0,0.49161749750055606,50
b0_chirp_shared_3s_50uA,pattern_discrimination,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.43875,0.965,-0.52625,0.52625,0.35,1.0,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,249.08963952807113,0.0,249.08963952807113,-2.0883008144222317,1.1764933471880568e-11,0.3002789947329476,1.0,0.02542715000337142,1451868.74,0.0,0.0,1.0,0.43875,1.0,1.0,0.49629425418068424,50
b2_chirp_shared_3s_50uA,pattern_discrimination,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.465,0.965,-0.5,0.5,0.35,0.98,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,161.10361400661552,0.0,161.10361400661552,-1.1494992533488795,1.1764933471880568e-11,0.46449196538833043,1.0,-0.011489389029740732,887101.28,0.0,0.0,1.0,0.465,1.0,1.0,0.48907504000118934,50
b0_chirp_correlated_3s_50uA,pattern_discrimination,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.48375,0.965,-0.48125,0.48125,0.35,1.0,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,116.66109159958135,0.0,116.66109159958135,-0.7094795057821673,1.1764933471880568e-11,0.5908654565007571,1.0,-0.01717960547180129,672756.58,0.0,0.0,1.0,0.48375,1.0,1.0,0.48952484837966037,50
b-2_static_shared_3s_50uA,pattern_discrimination,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.49125,0.965,-0.47375,0.47375,0.35,1.0,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,107.7552475379852,0.0,107.7552475379852,-0.6281673541267065,1.1764933471880568e-11,0.6223793303139241,1.0,-0.016718652405012312,708269.44,0.0,0.0,1.0,0.49125,1.0,1.0,0.48317424337990816,50
b0_gated_burst_shared_3s_50uA,pattern_discrimination,0.0,gated_burst,shared,3.0,50.0,160,1062.96,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.5,0.965,-0.465,0.465,0.35,0.96,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,146.41020402625287,0.0,146.41020402625287,-1.0019620177282358,1.1764933471880568e-11,0.5042242273898455,1.0,-0.018711119703398213,655734.08,0.0,0.0,1.0,0.5,1.0,1.0,0.46920166665979196,50
b-2_gated_burst_shared_3s_50uA,pattern_discrimination,-2.0,gated_burst,shared,3.0,50.0,160,1061.26,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.5,0.965,-0.465,0.465,0.35,0.96,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,146.305797756675,0.0,146.305797756675,-1.0011263204146374,1.1764933471880568e-11,0.5039563453001197,1.0,-0.018278802607918337,655431.46,0.0,0.0,1.0,0.5,1.0,1.0,0.47408320247894153,50
b2_gated_burst_shared_3s_50uA,pattern_discrimination,2.0,gated_burst,shared,3.0,50.0,160,1088.92,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.5,0.965,-0.465,0.465,0.35,0.96,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,129.50698170774848,0.0,129.50698170774848,-0.8361165339088046,1.1764933471880568e-11,0.555329557068339,1.0,-0.022204042340860514,627413.98,0.0,0.0,1.0,0.5,1.0,1.0,0.4759122475000913,50
b-2_epoch_pause_shared_3s_50uA,pattern_discrimination,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,0.0,0.96,0.96,80.0,17.32,17.32,1.0,0.53125,0.965,-0.43375,0.43375,0.35,0.96,0.0,0.0,0.0,-0.96,-0.965,85.07523093079391,85.07523093079391,81.53434564036087,0.0,81.53434564036087,-0.4032574983967892,1.1764933471880568e-11,0.7257718822873821,1.0,-0.01915197121485667,524763.58,0.0,0.0,1.0,0.53125,1.0,1.0,0.4897391566805891,50
