protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,xor_electrode_classification,-2.0,chirp,shared,3.0,50.0,160,3742.38,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.525,0.6,-0.0749999999999999,0.0749999999999999,0.25,1.0,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,308.1694994680566,0.0,308.1694994680566,-2.0694809269577457,9.512588494686724e-12,0.2691927154476511,0.9999999999999999,0.08831846638649683,2261641.0,0.0,0.0,1.0,0.525,1.0,1.0,2.423194367440035,50
b-2_chirp_correlated_3s_50uA,xor_electrode_classification,-2.0,chirp,correlated,3.0,50.0,160,2185.1,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.5255000000000001,0.6,-0.0744999999999999,0.0744999999999999,0.25,1.0,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,211.09244584520175,0.0,211.09244584520175,-1.2277900777264734,9.512588494686724e-12,0.4173302659020986,0.9999999999999999,0.03562507304834329,1163211.8,0.0,0.0,1.0,0.5255000000000001,1.0,1.0,2.2583512306599935,50
b0_chirp_shared_3s_50uA,xor_electrode_classification,0.0,chirp,shared,3.0,50.0,160,2596.9,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.526,0.6,-0.0739999999999999,0.0739999999999999,0.25,1.0,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,246.695603367667,0.0,246.695603367667,-1.5298204784379943,9.512588494686724e-12,0.3538285715918716,0.9999999999999999,0.05473298932886096,1477721.62,0.0,0.0,1.0,0.526,1.0,1.0,2.304634634880026,50
b0_chirp_correlated_3s_50uA,xor_electrode_classification,0.0,chirp,correlated,3.0,50.0,160,1507.12,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.5465,0.6,-0.05349999999999992,0.05349999999999992,0.25,0.88,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,117.4115945739688,0.0,117.4115945739688,-0.4918574236407165,9.512588494686724e-12,0.6557689898232425,0.9999999999999999,0.012694921338714839,687788.4,0.0,0.0,1.0,0.5465,1.0,1.0,2.1582963192799753,50
b2_chirp_shared_3s_50uA,xor_electrode_classification,2.0,chirp,shared,3.0,50.0,160,1744.34,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.551,0.6,-0.04899999999999993,0.04899999999999993,0.25,0.76,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,160.2747811361733,0.0,160.2747811361733,-0.8132691720417914,9.512588494686724e-12,0.5312904350385262,0.9999999999999999,0.020535126520299943,904243.44,0.0,0.0,1.0,0.551,1.0,1.0,2.1976867022599844,50
b2_chirp_correlated_3s_50uA,xor_electrode_classification,2.0,chirp,correlated,3.0,50.0,160,1015.54,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.562,0.6,-0.03799999999999995,0.03799999999999995,0.25,0.64,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,75.07396806007716,0.0,75.07396806007716,-0.22808232655142574,9.512588494686724e-12,0.8099927998002654,0.9999999999999999,0.001647249674924804,425643.48,0.0,0.0,1.0,0.562,1.0,1.0,2.147367337940036,50
b-2_static_shared_3s_50uA,xor_electrode_classification,-2.0,static,shared,3.0,50.0,160,1539.82,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.564,0.6,-0.03599999999999995,0.03599999999999995,0.25,0.6,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,109.23487398322506,0.0,109.23487398322506,-0.4341329951705738,9.512588494686724e-12,0.6826140797260897,0.9999999999999999,0.014983407183616189,726339.22,0.0,0.0,1.0,0.564,1.0,1.0,2.1467051499400025,50
b-2_epoch_pause_shared_3s_50uA,xor_electrode_classification,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.568,0.6,-0.03199999999999996,0.03199999999999996,0.25,0.6,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,84.42337572000281,0.0,84.42337572000281,-0.2794264212418407,9.512588494686724e-12,0.7732764947318603,0.9999999999999999,0.007509955555574358,538054.58,0.0,0.0,1.0,0.568,1.0,1.0,2.145474304560005,50
b0_epoch_pause_shared_3s_50uA,xor_electrode_classification,0.0,epoch_pause,shared,3.0,50.0,160,751.82,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.5710000000000001,0.6,-0.028999999999999963,0.028999999999999963,0.25,0.46,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,46.32941191563593,0.0,46.32941191563593,-0.09377389990497796,9.512588494686724e-12,0.9134470503606036,0.9999999999999999,0.00012525136398767184,276729.42,0.0,0.0,1.0,0.5710000000000001,1.0,1.0,2.1169749180400186,50
b0_static_shared_3s_50uA,xor_electrode_classification,0.0,static,shared,3.0,50.0,160,1053.58,-0.10500000000000002,0.6,0.705,80.0,9.0,9.0,1.0,0.5755,0.6,-0.024499999999999966,0.024499999999999966,0.25,0.44,0.0,0.0,-0.10333333333333336,-0.7033333333333335,-0.7033333333333335,105.19277838137447,105.19277838137447,62.37344358172767,0.0,62.37344358172767,-0.16262222425600023,9.512588494686724e-12,0.8574483748892159,0.9999999999999999,0.00167353863994647,401817.88,0.0,0.0,1.0,0.5755,1.0,1.0,2.13125623375998,50
