protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_input_association,-2.0,chirp,shared,3.0,50.0,160,3526.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,299.5085338883938,0.0,299.5085338883938,-2.142431319194982,1.0042411346944391e-11,0.2640247257994631,0.9999999999999999,0.08591110043369088,2107135.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.543120547000001,1
b0_chirp_shared_3s_50uA,overlapping_shared_input_association,0.0,chirp,shared,3.0,50.0,160,2676.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,259.74189374295025,0.0,259.74189374295025,-1.7706627044101966,1.0042411346944391e-11,0.3158820546365282,0.9999999999999999,0.06364619613128981,1577733.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.5362291149999692,1
b-2_chirp_correlated_3s_50uA,overlapping_shared_input_association,-2.0,chirp,correlated,3.0,50.0,160,2187.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,218.42718772572795,0.0,218.42718772572795,-1.3942530431552318,1.0042411346944391e-11,0.38385115699197236,0.9999999999999999,0.03955128116722839,1186876.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.4440162880000003,1
b-2_static_shared_3s_50uA,overlapping_shared_input_association,-2.0,static,shared,3.0,50.0,160,1425.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.65625,0.75,-0.09375,0.09375,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,102.63120626341892,0.0,102.63120626341892,-0.4282738749525614,1.0042411346944391e-11,0.686498247246404,0.9999999999999999,0.01114646680004406,656368.0,0.0,0.0,1.0,0.65625,1.0,1.0,1.3348853290000022,1
b-2_epoch_pause_shared_3s_50uA,overlapping_shared_input_association,-2.0,epoch_pause,shared,3.0,50.0,160,1254.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.6875,0.75,-0.0625,0.0625,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,101.80947842952705,0.0,101.80947842952705,-0.4207579600402225,1.0042411346944391e-11,0.6885044556002188,0.9999999999999999,0.013381962760412825,628670.0,0.0,0.0,1.0,0.6875,1.0,1.0,1.371310431000012,1
b2_chirp_correlated_3s_50uA,overlapping_shared_input_association,2.0,chirp,correlated,3.0,50.0,160,1130.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.6875,0.75,-0.0625,0.0625,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,92.89363444860166,0.0,92.89363444860166,-0.3679235003900432,1.0042411346944391e-11,0.7262178280001667,0.9999999999999999,-0.0004828419933820575,496912.0,0.0,0.0,1.0,0.6875,1.0,1.0,1.3408237800000506,1
b2_epoch_pause_correlated_3s_50uA,overlapping_shared_input_association,2.0,epoch_pause,correlated,3.0,50.0,160,286.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.6875,0.75,-0.0625,0.0625,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,19.318560198572218,0.0,19.318560198572218,-0.02063891529801598,1.0042411346944391e-11,0.9815289739143581,0.9999999999999999,-0.002033131464717651,68314.0,0.0,0.0,1.0,0.6875,1.0,1.0,1.3088463360001015,1
b0_chirp_correlated_3s_50uA,overlapping_shared_input_association,0.0,chirp,correlated,3.0,50.0,160,1504.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.71875,0.75,-0.03125,0.03125,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,124.94425770502646,0.0,124.94425770502646,-0.590979839305624,1.0042411346944391e-11,0.6067290773695377,0.9999999999999999,0.02157191618910768,707294.0,0.0,0.0,1.0,0.71875,1.0,1.0,1.4051884040000004,1
b0_static_shared_3s_50uA,overlapping_shared_input_association,0.0,static,shared,3.0,50.0,160,964.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.71875,0.75,-0.03125,0.03125,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,59.942375651326024,0.0,59.942375651326024,-0.177070047562224,1.0042411346944391e-11,0.8580995830609416,0.9999999999999999,-0.01156724731598258,361268.0,0.0,0.0,1.0,0.71875,1.0,1.0,1.326952523999978,1
b-2_chirp_shared_3s_10uA,overlapping_shared_input_association,-2.0,chirp,shared,3.0,10.0,160,3526.0,-0.25,0.75,1.0,80.0,11.0,11.0,1.0,0.71875,0.75,-0.03125,0.03125,0.25,1.0,0.0,0.0,-0.25,-1.0,-1.0,99.57817985205533,99.57817985205533,11.484373137323981,0.0,11.484373137323981,-0.008637778938603624,1.0042411346944391e-11,0.9933596178083801,0.9999999999999999,-0.002024555030802864,34186.0,0.0,0.0,1.0,0.71875,1.0,1.0,1.3087046309999835,1
