protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,overlapping_shared_target_association,-2.0,chirp,shared,3.0,50.0,160,3605.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,306.8612229512557,0.0,306.8612229512557,-2.838954354633576,1.2127521209492897e-11,0.22431282888191562,1.0,0.055802835122830304,2167944.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.251744752000036,1
b0_chirp_shared_3s_50uA,overlapping_shared_target_association,0.0,chirp,shared,3.0,50.0,160,2642.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,257.4280128034693,0.0,257.4280128034693,-2.268784961097665,1.2127521209492897e-11,0.27944319135639245,1.0,0.03080429780622056,1490688.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.2314251230000082,1
b-2_chirp_correlated_3s_50uA,overlapping_shared_target_association,-2.0,chirp,correlated,3.0,50.0,160,2246.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,225.50294404531044,0.0,225.50294404531044,-1.9078788008629965,1.2127521209492897e-11,0.32581623570334833,1.0,0.011627474681019491,1203165.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.1614431549999722,1
b2_chirp_shared_3s_50uA,overlapping_shared_target_association,2.0,chirp,shared,3.0,50.0,160,1714.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.5833333333333333,1.0,-0.41666666666666674,0.41666666666666674,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,156.80449561657042,0.0,156.80449561657042,-1.1421995114464125,1.2127521209492897e-11,0.4513313308162837,1.0,0.01360934376001746,895785.0,0.0,0.0,1.0,0.5833333333333333,1.0,1.0,1.1325515990000667,1
b-2_gated_burst_shared_3s_50uA,overlapping_shared_target_association,-2.0,gated_burst,shared,3.0,50.0,160,919.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,120.61285191589182,0.0,120.61285191589182,-0.7740690675024551,1.2127521209492897e-11,0.559843119200245,1.0,-0.003874071762526656,566114.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.053910462000033,1
b0_gated_burst_shared_3s_50uA,overlapping_shared_target_association,0.0,gated_burst,shared,3.0,50.0,160,936.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.6666666666666667,1.0,-0.33333333333333326,0.33333333333333326,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,115.92647490921351,0.0,115.92647490921351,-0.727609088831342,1.2127521209492897e-11,0.57576954817497,1.0,-0.004047559860547335,566140.0,0.0,0.0,1.0,0.6666666666666667,1.0,1.0,1.0620527960001027,1
b-2_epoch_pause_shared_3s_50uA,overlapping_shared_target_association,-2.0,epoch_pause,shared,3.0,50.0,160,1204.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,83.58753677676334,0.0,83.58753677676334,-0.42394092482070755,1.2127521209492897e-11,0.6984746933741922,1.0,-5.207415410257289e-06,565185.0,0.0,0.0,1.0,0.875,1.0,1.0,1.115982884999994,1
b2_chirp_correlated_3s_50uA,overlapping_shared_target_association,2.0,chirp,correlated,3.0,50.0,160,1009.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,70.9714581535231,0.0,70.9714581535231,-0.3159887582577765,1.2127521209492897e-11,0.7534754804946263,1.0,0.004492253012735953,400493.0,0.0,0.0,1.0,0.875,1.0,1.0,1.1369622979999576,1
b2_static_shared_3s_50uA,overlapping_shared_target_association,2.0,static,shared,3.0,50.0,160,788.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.875,1.0,-0.125,0.125,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,50.69605407395672,0.0,50.69605407395672,-0.17910888796966584,1.2127521209492897e-11,0.8515872329445888,1.0,-0.0061504372687210245,320633.0,0.0,0.0,1.0,0.875,1.0,1.0,1.0925641540000015,1
b-2_alternating_blue_red_shared_3s_50uA,overlapping_shared_target_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,1066.0,0.0,1.0,1.0,80.0,14.0,14.0,1.0,0.9166666666666666,1.0,-0.08333333333333337,0.08333333333333337,0.35,1.0,0.0,0.0,0.0,-1.0,-1.0,82.45747676007879,82.45747676007879,62.749399173762306,0.0,62.749399173762306,-0.26082931211169647,1.2127521209492897e-11,0.7958342832215811,1.0,-0.005291612491119524,420360.0,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,1.0714597050000236,1
