protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,xor_electrode_classification,-2.0,chirp,shared,3.0,50.0,160,3749.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,314.77659177532644,0.0,314.77659177532644,-2.2111644496810223,9.782619159182104e-12,0.25719163251700494,1.0,0.085387171771256,2308498.0,0.0,0.0,1.0,0.525,1.0,1.0,2.755217243000061,1
b-2_chirp_correlated_3s_50uA,xor_electrode_classification,-2.0,chirp,correlated,3.0,50.0,160,2301.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,229.86777227398727,0.0,229.86777227398727,-1.4468417320984566,9.782619159182104e-12,0.376913209577761,1.0,0.03483379369594316,1261097.0,0.0,0.0,1.0,0.525,1.0,1.0,2.462750336999761,1
b2_chirp_shared_3s_50uA,xor_electrode_classification,2.0,chirp,shared,3.0,50.0,160,1799.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,159.86641750793368,0.0,159.86641750793368,-0.8445907683865672,9.782619159182104e-12,0.5198443089873319,1.0,0.02165578452931013,930047.0,0.0,0.0,1.0,0.525,1.0,1.0,2.685796556999776,1
b0_chirp_correlated_3s_50uA,xor_electrode_classification,0.0,chirp,correlated,3.0,50.0,160,1573.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.525,0.6,-0.07499999999999996,0.07499999999999996,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,126.06877700552926,0.0,126.06877700552926,-0.5798297746315328,9.782619159182104e-12,0.6173104245354186,1.0,0.012563787155318864,730119.0,0.0,0.0,1.0,0.525,1.0,1.0,2.537601505999646,1
b0_chirp_shared_3s_50uA,xor_electrode_classification,0.0,chirp,shared,3.0,50.0,160,2597.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.55,0.6,-0.04999999999999993,0.04999999999999993,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,258.28880244803565,0.0,258.28880244803565,-1.7001641397680731,9.782619159182104e-12,0.3323089688743718,1.0,0.04677341691377006,1517827.0,0.0,0.0,1.0,0.55,1.0,1.0,2.557734575000268,1
b2_chirp_shared_3s_10uA,xor_electrode_classification,2.0,chirp,shared,3.0,10.0,160,1799.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.55,0.6,-0.04999999999999993,0.04999999999999993,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,8.53181574879613,0.0,8.53181574879613,-0.0020115885141696044,9.782619159182104e-12,0.9964838867086441,1.0,0.001469473699412533,21136.0,0.0,0.0,1.0,0.55,1.0,1.0,2.4192315260002033,1
b-2_static_shared_3s_50uA,xor_electrode_classification,-2.0,static,shared,3.0,50.0,160,1505.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.575,0.6,-0.025000000000000022,0.025000000000000022,0.25,1.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,107.15968432511642,0.0,107.15968432511642,-0.44357199098790634,9.782619159182104e-12,0.6816214597642426,1.0,0.0075200302533851736,719689.0,0.0,0.0,1.0,0.575,1.0,1.0,2.267665629000021,1
b-2_gated_burst_shared_3s_50uA,xor_electrode_classification,-2.0,gated_burst,shared,3.0,50.0,160,1164.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.6,0.6,0.0,0.0,0.25,0.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,167.94949339222012,0.0,167.94949339222012,-0.9175088997381271,9.782619159182104e-12,0.5047267375261006,1.0,0.011283985928726847,744303.0,0.0,0.0,1.0,0.6,1.0,1.0,2.420163001999981,1
b0_gated_burst_shared_3s_50uA,xor_electrode_classification,0.0,gated_burst,shared,3.0,50.0,160,1068.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.6,0.6,0.0,0.0,0.25,0.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,150.83779721608434,0.0,150.83779721608434,-0.7793605730216799,9.782619159182104e-12,0.5501111928679338,1.0,0.005621268753519042,680814.0,0.0,0.0,1.0,0.6,1.0,1.0,2.483501785000044,1
b2_gated_burst_shared_3s_50uA,xor_electrode_classification,2.0,gated_burst,shared,3.0,50.0,160,1068.0,0.09166666666666667,0.6,0.5083333333333333,80.0,8.0,8.0,1.0,0.6,0.6,0.0,0.0,0.25,0.0,0.0,0.0,0.04999999999999999,-0.55,-0.55,102.22200722648851,102.22200722648851,124.28015441279604,0.0,124.28015441279604,-0.5731814698117939,9.782619159182104e-12,0.6300369112898729,1.0,0.0016186526565262866,619603.0,0.0,0.0,1.0,0.6,1.0,1.0,2.5476441810001234,1
