protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,50.0,160,3716.3333333333335,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.875,1.0,-0.125,0.125,0.4000000000000001,1.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,314.1679803303527,0.0,314.1679803303527,-5.014859126010095,1.8857508147599827e-11,0.1575789668516909,0.9999999999999999,-0.023825374537213975,2189199.0,0.0,0.0,1.0,0.875,1.0,1.0,0.2503713606662738,3
b0_chirp_shared_3s_50uA,conditioned_electrode_association,0.0,chirp,shared,3.0,50.0,160,2567.3333333333335,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.875,1.0,-0.125,0.125,0.4000000000000001,1.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,249.87507698441655,0.0,249.87507698441655,-3.832316559120288,1.8857508147599827e-11,0.21093060472249556,0.9999999999999999,-0.06284616422921228,1413349.0,0.0,0.0,1.0,0.875,1.0,1.0,0.24576315264372775,3
b-2_chirp_correlated_3s_50uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,50.0,160,2179.3333333333335,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.875,1.0,-0.125,0.125,0.4000000000000001,1.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,215.4360193891604,0.0,215.4360193891604,-3.2023242858331424,1.8857508147599827e-11,0.24861203840461843,0.9999999999999999,-0.07504026716702325,1131788.6666666667,0.0,0.0,1.0,0.875,1.0,1.0,0.2456420970071728,3
b-2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,shared,3.0,50.0,160,1142.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.875,1.0,-0.125,0.125,0.4000000000000001,1.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,73.52902224160891,0.0,73.52902224160891,-0.778687241888723,1.8857508147599827e-11,0.6253772815693426,0.9999999999999999,-0.10357024376573354,507319.0,0.0,0.0,1.0,0.875,1.0,1.0,0.22419322231629243,3
b0_chirp_correlated_3s_50uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,50.0,160,1495.3333333333333,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9166666666666666,1.0,-0.08333333333333333,0.08333333333333333,0.4000000000000001,0.6666666666666666,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,106.23965886977079,0.0,106.23965886977079,-1.277650477163795,1.8857508147599827e-11,0.47996523354115633,0.9999999999999999,-0.09113672398707111,647308.6666666666,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,0.26109845833464834,3
b2_chirp_correlated_3s_50uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,50.0,160,986.3333333333334,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9166666666666666,1.0,-0.08333333333333333,0.08333333333333333,0.4000000000000001,0.6666666666666666,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,61.94025738176367,0.0,61.94025738176367,-0.5954099949091368,1.8857508147599827e-11,0.6819534522384321,0.9999999999999999,-0.08918174467358157,381790.3333333333,0.0,0.0,1.0,0.9166666666666666,1.0,1.0,0.24374715302838013,3
b2_chirp_shared_3s_50uA,conditioned_electrode_association,2.0,chirp,shared,3.0,50.0,160,1738.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,156.34024956887515,0.0,156.34024956887515,-2.143564414870806,1.8857508147599827e-11,0.35112451394972677,0.9999999999999999,-0.11291621530630573,867833.0,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.25681987499895814,3
b0_static_shared_3s_50uA,conditioned_electrode_association,0.0,static,shared,3.0,50.0,160,1002.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,50.92052888390345,0.0,50.92052888390345,-0.4405153611961148,1.8857508147599827e-11,0.7466080515261554,0.9999999999999999,-0.07106942065271948,338933.0,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.23508604134743413,3
b-2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.41514437558230727,1.8857508147599827e-11,0.7616382521004352,0.9999999999999999,-0.07746527318291502,330663.6666666667,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.22159180565116307,3
b0_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.41514437558230727,1.8857508147599827e-11,0.7616382521004352,0.9999999999999999,-0.07746527318291502,330663.6666666667,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.23465548667203015,3
b2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.41514437558230727,1.8857508147599827e-11,0.7616382521004352,0.9999999999999999,-0.07746527318291502,330663.6666666667,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.2655673056530456,3
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,689.3333333333334,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,38.918529463859294,0.0,38.918529463859294,-0.2893599760068016,1.8857508147599827e-11,0.8242465031212781,0.9999999999999999,-0.06216027729409892,245978.0,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.2750127639931937,3
b0_epoch_pause_shared_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,shared,3.0,50.0,160,713.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,37.63803495223723,0.0,37.63803495223723,-0.28545576661415145,1.8857508147599827e-11,0.8349456900638321,0.9999999999999999,-0.0704549413327158,239175.0,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.2344649859975713,3
b0_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,correlated,3.0,50.0,160,403.6666666666667,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,0.9583333333333334,1.0,-0.041666666666666664,0.041666666666666664,0.4000000000000001,0.3333333333333333,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,24.385474017064166,0.0,24.385474017064166,-0.1305942947157935,1.8857508147599827e-11,0.9141562920919094,0.9999999999999999,-0.033503517126420516,94830.33333333333,0.0,0.0,1.0,0.9583333333333334,1.0,1.0,0.24347250000573695,3
b0_gated_burst_shared_3s_50uA,conditioned_electrode_association,0.0,gated_burst,shared,3.0,50.0,160,1018.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,134.8983757035831,0.0,134.8983757035831,-1.773239854769433,1.8857508147599827e-11,0.39835941299428,0.9999999999999999,-0.10988115519937362,614198.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2335672359719562,3
b-2_gated_burst_shared_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,shared,3.0,50.0,160,1011.3333333333334,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,132.73745017707327,0.0,132.73745017707327,-1.7345609107113447,1.8857508147599827e-11,0.40258068006615816,0.9999999999999999,-0.10930961586102732,618815.0,0.0,0.0,1.0,1.0,1.0,1.0,0.23570115301602831,3
b2_gated_burst_shared_3s_50uA,conditioned_electrode_association,2.0,gated_burst,shared,3.0,50.0,160,1073.6666666666667,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,119.84475939240588,0.0,119.84475939240588,-1.5186185000718098,1.8857508147599827e-11,0.4431956039988987,0.9999999999999999,-0.11006615834530069,607166.6666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.24287118033195534,3
b-2_static_shared_3s_50uA,conditioned_electrode_association,-2.0,static,shared,3.0,50.0,160,1513.6666666666667,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,94.15979447196418,0.0,94.15979447196418,-1.0939791812565074,1.8857508147599827e-11,0.528095333969321,0.9999999999999999,-0.10201528627187932,666373.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2228023613182207,3
b2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,2.0,gated_burst,correlated,3.0,50.0,160,637.3333333333334,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,63.25697184325454,0.0,63.25697184325454,-0.6073868156706613,1.8857508147599827e-11,0.6717621656732988,0.9999999999999999,-0.07650230568993666,345530.0,0.0,0.0,1.0,1.0,1.0,1.0,0.22483759701329595,3
b-2_gated_burst_correlated_3s_50uA,conditioned_electrode_association,-2.0,gated_burst,correlated,3.0,50.0,160,610.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,60.758565772897974,0.0,60.758565772897974,-0.5670815271772399,1.8857508147599827e-11,0.6848050783877581,0.9999999999999999,-0.07140610224126669,329947.3333333333,0.0,0.0,1.0,1.0,1.0,1.0,0.23724341666093096,3
b0_gated_burst_correlated_3s_50uA,conditioned_electrode_association,0.0,gated_burst,correlated,3.0,50.0,160,569.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,52.16546196506358,0.0,52.16546196506358,-0.45177795268937754,1.8857508147599827e-11,0.7379257697622766,0.9999999999999999,-0.06851394572378099,297751.6666666667,0.0,0.0,1.0,1.0,1.0,1.0,0.26379469434808317,3
b-2_static_correlated_3s_50uA,conditioned_electrode_association,-2.0,static,correlated,3.0,50.0,160,894.3333333333334,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,49.96791745441957,0.0,49.96791745441957,-0.4237429351973643,1.8857508147599827e-11,0.7511823646121725,0.9999999999999999,-0.0688183306585196,269400.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2411342219954046,3
b-2_epoch_pause_correlated_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,correlated,3.0,50.0,160,614.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,34.969373933940155,0.0,34.969373933940155,-0.24400832204582298,1.8857508147599827e-11,0.8494545131454418,0.9999999999999999,-0.05620179296411149,172374.66666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.2374216666794382,3
b0_static_correlated_3s_50uA,conditioned_electrode_association,0.0,static,correlated,3.0,50.0,160,596.0,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,33.53892148565935,0.0,33.53892148565935,-0.22427806771341832,1.8857508147599827e-11,0.8575144744117956,0.9999999999999999,-0.048983781972355665,144755.33333333334,0.0,0.0,1.0,1.0,1.0,1.0,0.23584726365515962,3
b-2_alternating_blue_red_correlated_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,correlated,3.0,50.0,160,553.6666666666666,0.0,1.0,1.0,60.0,22.666666666666668,22.666666666666668,1.0,1.0,1.0,0.0,0.0,0.4000000000000001,0.0,0.0,0.0,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,32.44889805317661,0.0,32.44889805317661,-0.21384906439075846,1.8857508147599827e-11,0.8645233215731046,0.9999999999999999,-0.04916266121984817,147730.33333333334,0.0,0.0,1.0,1.0,1.0,1.0,0.23878665301405513,3
