protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,pattern_discrimination,-2.0,chirp,shared,3.0,50.0,160,3716.3333333333335,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4375,1.0,-0.5625,0.5625,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,311.0412933017785,0.0,311.0412933017785,-3.2357105318026242,1.3213097282971376e-11,0.22252224829382286,1.0,-0.016229916047256265,2210577.0,0.0,0.0,1.0,0.4375,1.0,1.0,0.5336301523299577,3
b0_chirp_shared_3s_50uA,pattern_discrimination,0.0,chirp,shared,3.0,50.0,160,2567.3333333333335,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4375,1.0,-0.5625,0.5625,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,248.30799443405422,0.0,248.30799443405422,-2.447463943051088,1.3213097282971376e-11,0.2934481274600017,1.0,-0.05450076875093383,1429977.3333333333,0.0,0.0,1.0,0.4375,1.0,1.0,0.5095039856775353,3
b-2_chirp_correlated_3s_50uA,pattern_discrimination,-2.0,chirp,correlated,3.0,50.0,160,2179.3333333333335,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4375,1.0,-0.5625,0.5625,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,214.1700941090231,0.0,214.1700941090231,-2.0256224633080246,1.3213097282971376e-11,0.3449386080386052,1.0,-0.07338484070379672,1143353.0,0.0,0.0,1.0,0.4375,1.0,1.0,0.5058003333203184,3
b0_chirp_correlated_3s_50uA,pattern_discrimination,0.0,chirp,correlated,3.0,50.0,160,1495.3333333333333,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4375,1.0,-0.5625,0.5625,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,110.17005206649857,0.0,110.17005206649857,-0.8128819419331101,1.3213097282971376e-11,0.5967800066389043,1.0,-0.08379184638211253,653900.3333333334,0.0,0.0,1.0,0.4375,1.0,1.0,0.4943927223406111,3
b-2_epoch_pause_shared_3s_50uA,pattern_discrimination,-2.0,epoch_pause,shared,3.0,50.0,160,1142.0,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4583333333333333,1.0,-0.5416666666666666,0.5416666666666666,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,79.03755305575942,0.0,79.03755305575942,-0.5152167338550638,1.3213097282971376e-11,0.7217968063337663,1.0,-0.09069234593188842,515289.6666666667,0.0,0.0,1.0,0.4583333333333333,1.0,1.0,0.4979356529850823,3
b2_chirp_shared_3s_50uA,pattern_discrimination,2.0,chirp,shared,3.0,50.0,160,1738.0,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.4791666666666667,1.0,-0.5208333333333334,0.5208333333333334,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,159.31318043136505,0.0,159.31318043136505,-1.3686576593558397,1.3213097282971376e-11,0.4588002647663549,1.0,-0.09896427533132242,878056.6666666666,0.0,0.0,1.0,0.4791666666666667,1.0,1.0,0.4902455556633261,3
b0_gated_burst_shared_3s_50uA,pattern_discrimination,0.0,gated_burst,shared,3.0,50.0,160,1018.0,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.5,1.0,-0.5,0.5,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,138.2927256938737,0.0,138.2927256938737,-1.128921948087778,1.3213097282971376e-11,0.5112745943782634,1.0,-0.0956115202072974,620036.0,0.0,0.0,1.0,0.5,1.0,1.0,0.48526718030916527,3
b-2_gated_burst_shared_3s_50uA,pattern_discrimination,-2.0,gated_burst,shared,3.0,50.0,160,1011.3333333333334,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.5,1.0,-0.5,0.5,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,135.99463249542725,0.0,135.99463249542725,-1.1019928813361568,1.3213097282971376e-11,0.5172170701405454,1.0,-0.09688517491479254,624162.6666666666,0.0,0.0,1.0,0.5,1.0,1.0,0.4863933610031381,3
b2_gated_burst_shared_3s_50uA,pattern_discrimination,2.0,gated_burst,shared,3.0,50.0,160,1073.6666666666667,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.5,1.0,-0.5,0.5,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,123.0166767249432,0.0,123.0166767249432,-0.9608956159013303,1.3213097282971376e-11,0.5597905337976451,1.0,-0.09565881312855246,612179.6666666666,0.0,0.0,1.0,0.5,1.0,1.0,0.4828890973003581,3
b-2_static_shared_3s_50uA,pattern_discrimination,-2.0,static,shared,3.0,50.0,160,1513.6666666666667,0.0,1.0,1.0,60.0,20.333333333333332,20.333333333333332,1.0,0.5208333333333334,1.0,-0.4791666666666667,0.4791666666666667,0.3499999999999999,1.0,0.0,0.0,0.0,-1.0,-1.0,75.742617997426,75.742617997426,100.3496191925172,0.0,100.3496191925172,-0.720515925591446,1.3213097282971376e-11,0.6342867655237098,1.0,-0.09261749569176154,676363.6666666666,0.0,0.0,1.0,0.5208333333333334,1.0,1.0,0.5062581666667635,3
