protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,criterion_score,total_pulses,trained_score,no_reset_score,reset_score,residual_performance,forgetting_score,score_drop,criterion_forget,made_forget,relearn_measured,relearn_trials,relearn_score,relearn_reached_criterion,relearn_savings,energy_cost_uC,reset_minus_no_reset_weight_norm,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,task_count
b-2_chirp_correlated_3s_50uA,-2.0,chirp,correlated,3.0,50.0,160,0.375,2179.3333333333335,1.0,1.0,0.65625,0.65625,0.34375,1.0,0.0,0.0,1.0,0.0,0.65625,1.0,1.0,34.86933333333334,214.80305674909175,-0.07421255393540996,1137570.8333333335,2
b-2_chirp_shared_3s_50uA,-2.0,chirp,shared,3.0,50.0,160,0.375,3716.3333333333335,1.0,1.0,0.65625,0.65625,0.34375,1.0,0.0,0.0,1.0,0.0,0.65625,1.0,1.0,59.461333333333336,312.60463681606564,-0.02002764529223505,2199888.0,2
b0_chirp_shared_3s_50uA,0.0,chirp,shared,3.0,50.0,160,0.375,2567.3333333333335,1.0,1.0,0.65625,0.65625,0.34375,1.0,0.0,0.0,1.0,0.0,0.65625,1.0,1.0,41.077333333333335,249.09153570923536,-0.05867346649007302,1421663.1666666665,2
b-2_epoch_pause_shared_3s_50uA,-2.0,epoch_pause,shared,3.0,50.0,160,0.375,1142.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,18.272000000000002,76.28328764868417,-0.09713129484881093,511304.3333333334,2
b0_chirp_correlated_3s_50uA,0.0,chirp,correlated,3.0,50.0,160,0.375,1495.3333333333333,1.0,1.0,0.6770833333333333,0.6770833333333333,0.3229166666666667,0.8333333333333333,0.0,0.0,1.0,0.0,0.6770833333333333,1.0,1.0,23.92533333333333,108.2048554681347,-0.08746428518459176,650604.5,2
b2_chirp_shared_3s_50uA,2.0,chirp,shared,3.0,50.0,160,0.375,1738.0,1.0,1.0,0.71875,0.71875,0.28125,0.6666666666666666,0.0,0.0,1.0,0.0,0.71875,1.0,1.0,27.808000000000003,157.8267150001201,-0.10594024531881402,872944.8333333333,2
b-2_gated_burst_shared_3s_50uA,-2.0,gated_burst,shared,3.0,50.0,160,0.375,1011.3333333333334,1.0,1.0,0.75,0.75,0.25,0.5,0.0,0.0,1.0,0.0,0.75,1.0,1.0,16.18133333333333,134.36604133625025,-0.10309739538790988,621488.8333333333,2
b0_gated_burst_shared_3s_50uA,0.0,gated_burst,shared,3.0,50.0,160,0.375,1018.0,1.0,1.0,0.75,0.75,0.25,0.5,0.0,0.0,1.0,0.0,0.75,1.0,1.0,16.288,136.5955506987284,-0.10274633770333548,617117.0,2
b2_gated_burst_shared_3s_50uA,2.0,gated_burst,shared,3.0,50.0,160,0.375,1073.6666666666667,1.0,1.0,0.75,0.75,0.25,0.5,0.0,0.0,1.0,0.0,0.75,1.0,1.0,17.17866666666667,121.43071805867453,-0.10286248573692652,609673.1666666666,2
b-2_static_shared_3s_50uA,-2.0,static,shared,3.0,50.0,160,0.375,1513.6666666666667,1.0,1.0,0.7604166666666667,0.7604166666666667,0.23958333333333334,0.5,0.0,0.0,1.0,0.0,0.7604166666666667,1.0,1.0,24.218666666666667,97.2547068322407,-0.09731639098182039,671368.3333333333,2
