protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates,task_output_dir
b-2_chirp_shared_3s_50uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.875,1.0,-0.125,0.125,0.4,1.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,314.61717792008864,0.0,314.61717792008864,-4.9311040115976,1.8572408055916867e-11,0.1576323036936793,1.0,-0.014820453530063,2201675.32,0.0,0.0,1.0,0.875,1.0,1.0,0.2312359232202288,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_chirp_shared_3s_50uA,conditioned_electrode_association,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.8775,1.0,-0.1225,0.1225,0.4,0.98,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,250.776558729954,0.0,250.776558729954,-3.776690878379944,1.8572408055916867e-11,0.2131882486635282,1.0,-0.062341464029529,1427693.98,0.0,0.0,1.0,0.8775,1.0,1.0,0.2174418858793797,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_chirp_correlated_3s_50uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.88,1.0,-0.12,0.12,0.4,0.96,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,213.381857472658,0.0,213.381857472658,-3.107426095529579,1.8572408055916867e-11,0.2568144810352846,1.0,-0.0832264682363133,1124520.8,0.0,0.0,1.0,0.88,1.0,1.0,0.2151839799000299,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_chirp_shared_3s_50uA,conditioned_electrode_association,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.93,1.0,-0.07,0.07,0.4,0.56,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,157.61319630107445,0.0,157.61319630107445,-2.128214990898859,1.8572408055916867e-11,0.3493367433244641,1.0,-0.0983396682249526,871353.9,0.0,0.0,1.0,0.93,1.0,1.0,0.2098378824802057,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_chirp_correlated_3s_50uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9325,1.0,-0.0675,0.0675,0.4,0.54,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,111.16988285862126,0.0,111.16988285862126,-1.337585580763279,1.8572408055916867e-11,0.4682807706053183,1.0,-0.0973825377177589,660595.92,0.0,0.0,1.0,0.9325,1.0,1.0,0.2079012866597622,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_chirp_correlated_3s_50uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,50.0,160,1015.54,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.95,1.0,-0.05,0.05,0.4,0.4,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,67.4334292938242,0.0,67.4334292938242,-0.6567407840883601,1.8572408055916867e-11,0.6555771107926887,1.0,-0.0860996554883466,408171.36,0.0,0.0,1.0,0.95,1.0,1.0,0.2071410099603235,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_static_shared_3s_50uA,conditioned_electrode_association,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9525,1.0,-0.0475,0.0475,0.4,0.38,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,100.9558246620344,0.0,100.9558246620344,-1.1749501787127683,1.8572408055916867e-11,0.5065965919401403,1.0,-0.098331661942851,692316.66,0.0,0.0,1.0,0.9525,1.0,1.0,0.2085138892607938,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.955,1.0,-0.045,0.045,0.4,0.36,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,74.47280033855546,0.0,74.47280033855546,-0.7629752334412742,1.8572408055916867e-11,0.6207573263306881,1.0,-0.0896455517572136,513004.98,0.0,0.0,1.0,0.955,1.0,1.0,0.2077952975002699,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_epoch_pause_shared_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,shared,3.0,50.0,160,751.82,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9625,1.0,-0.0375,0.0375,0.4,0.3,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,40.61402338198126,0.0,40.61402338198126,-0.3025920355584846,1.8572408055916867e-11,0.816762256828973,1.0,-0.0620211129933442,260686.4,0.0,0.0,1.0,0.9625,1.0,1.0,0.2064685008802916,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_static_shared_3s_50uA,conditioned_electrode_association,0.0,static,shared,3.0,50.0,160,1053.58,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.97,1.0,-0.03,0.03,0.4,0.24,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,54.4102797683604,0.0,54.4102797683604,-0.4800820082508982,1.8572408055916867e-11,0.732839123569846,1.0,-0.0816914759147923,379340.08,0.0,0.0,1.0,0.97,1.0,1.0,0.2075287383404793,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,690.74,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9825,1.0,-0.0175,0.0175,0.4,0.14,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,37.76422778451431,0.0,37.76422778451431,-0.2729536065515879,1.8572408055916867e-11,0.8350027330608212,1.0,-0.0611718250433107,235903.78,0.0,0.0,1.0,0.9825,1.0,1.0,0.205056626680016,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b-2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.2069735674597905,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b0_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.2052527141798054,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
b2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,shared,3.0,50.0,160,971.36,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9875,1.0,-0.0125,0.0125,0.4,0.1,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,53.204910261437135,0.0,53.204910261437135,-0.4626666384170479,1.8572408055916867e-11,0.7393899793984161,1.0,-0.0788011697962107,367786.04,0.0,0.0,1.0,0.9875,1.0,1.0,0.205207891639875,50,experiments/snn_reset/results/snn_reset_relearning_n50_20260618T233516Z/conditioned_electrode_association
