protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.875,1.0,-0.125,0.125,0.4,1.0,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,314.61717792008864,0.0,314.61717792008864,-4.9311040115976,1.8572408055916867e-11,0.1576323036936793,0.9999999999999999,-0.014820453530063095,2201675.32,0.0,0.0,1.0,0.875,1.0,1.0,0.23123592322022887,50
b0_chirp_shared_3s_50uA,conditioned_electrode_association,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.8775,1.0,-0.1225,0.1225,0.4,0.98,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,250.776558729954,0.0,250.776558729954,-3.7766908783799438,1.8572408055916867e-11,0.2131882486635282,0.9999999999999999,-0.062341464029529045,1427693.98,0.0,0.0,1.0,0.8775,1.0,1.0,0.2174418858793797,50
b-2_chirp_correlated_3s_50uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.88,1.0,-0.12,0.12,0.4,0.96,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,213.381857472658,0.0,213.381857472658,-3.107426095529579,1.8572408055916867e-11,0.25681448103528465,0.9999999999999999,-0.08322646823631336,1124520.8,0.0,0.0,1.0,0.88,1.0,1.0,0.21518397990002996,50
b2_chirp_shared_3s_50uA,conditioned_electrode_association,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.93,1.0,-0.07,0.07,0.4,0.56,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,157.61319630107445,0.0,157.61319630107445,-2.128214990898859,1.8572408055916867e-11,0.3493367433244641,0.9999999999999999,-0.09833966822495269,871353.9,0.0,0.0,1.0,0.93,1.0,1.0,0.20983788248020574,50
b0_chirp_correlated_3s_50uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9325,1.0,-0.0675,0.0675,0.4,0.54,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,111.16988285862126,0.0,111.16988285862126,-1.337585580763279,1.8572408055916867e-11,0.4682807706053183,0.9999999999999999,-0.09738253771775898,660595.92,0.0,0.0,1.0,0.9325,1.0,1.0,0.20790128665976226,50
b2_chirp_correlated_3s_50uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,50.0,160,1015.54,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.95,1.0,-0.05,0.05,0.4,0.4,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,67.4334292938242,0.0,67.4334292938242,-0.6567407840883601,1.8572408055916867e-11,0.6555771107926887,0.9999999999999999,-0.0860996554883466,408171.36,0.0,0.0,1.0,0.95,1.0,1.0,0.20714100996032359,50
b-2_static_shared_3s_50uA,conditioned_electrode_association,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9525,1.0,-0.0475,0.0475,0.4,0.38,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,100.95582466203439,0.0,100.95582466203439,-1.1749501787127685,1.8572408055916867e-11,0.5065965919401403,0.9999999999999999,-0.098331661942851,692316.66,0.0,0.0,1.0,0.9525,1.0,1.0,0.2085138892607938,50
b-2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.955,1.0,-0.045,0.045,0.4,0.36,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,74.47280033855546,0.0,74.47280033855546,-0.7629752334412742,1.8572408055916867e-11,0.6207573263306881,0.9999999999999999,-0.08964555175721362,513004.98,0.0,0.0,1.0,0.955,1.0,1.0,0.20779529750026995,50
b0_epoch_pause_shared_3s_50uA,conditioned_electrode_association,0.0,epoch_pause,shared,3.0,50.0,160,751.82,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.9625,1.0,-0.0375,0.0375,0.4,0.3,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,40.61402338198126,0.0,40.61402338198126,-0.30259203555848463,1.8572408055916867e-11,0.816762256828973,0.9999999999999999,-0.062021112993344216,260686.4,0.0,0.0,1.0,0.9625,1.0,1.0,0.20646850088029167,50
b0_static_shared_3s_50uA,conditioned_electrode_association,0.0,static,shared,3.0,50.0,160,1053.58,0.0,1.0,1.0,60.0,20.4,20.4,1.0,0.97,1.0,-0.03,0.03,0.4,0.24,0.0,0.0,0.0,-1.0,-1.0,53.92837055684591,53.92837055684591,54.4102797683604,0.0,54.4102797683604,-0.48008200825089825,1.8572408055916867e-11,0.732839123569846,0.9999999999999999,-0.08169147591479238,379340.08,0.0,0.0,1.0,0.97,1.0,1.0,0.20752873834047933,50
