protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,initial_trials_to_criterion,initial_trials_for_savings,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,forgetting_score,criterion_score,score_drop,criterion_forget,made_forget,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,relearn_trials,relearn_measured,relearn_score,relearn_reached_criterion,relearn_savings,relearn_elapsed_s,replicates
b-2_chirp_shared_3s_50uA,pattern_discrimination,-2.0,chirp,shared,3.0,50.0,160,3742.38,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.4375,0.96875,-0.53125,0.53125,0.35,1.0,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,311.5545924822799,0.0,311.5545924822799,-3.271093246016788,1.331100563106702e-11,0.22025944271328562,1.0,-0.01820974324204727,2222877.5,0.0,0.0,1.0,0.4375,1.0,1.0,0.5067735441603872,50
b0_chirp_shared_3s_50uA,pattern_discrimination,0.0,chirp,shared,3.0,50.0,160,2596.9,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.43875,0.96875,-0.53,0.53,0.35,1.0,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,249.1390574338043,0.0,249.1390574338043,-2.481943697250236,1.331100563106702e-11,0.29273985144405,1.0,-0.06314598586948664,1443979.62,0.0,0.0,1.0,0.43875,1.0,1.0,0.47832790251995905,50
b-2_chirp_correlated_3s_50uA,pattern_discrimination,-2.0,chirp,correlated,3.0,50.0,160,2185.1,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.44,0.96875,-0.52875,0.52875,0.35,1.0,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,213.04355771171905,0.0,213.04355771171905,-2.034161355498978,1.331100563106702e-11,0.34697268503900064,1.0,-0.08203532642147338,1135807.24,0.0,0.0,1.0,0.44,1.0,1.0,0.47348009338078556,50
b2_chirp_shared_3s_50uA,pattern_discrimination,2.0,chirp,shared,3.0,50.0,160,1744.34,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.465,0.96875,-0.50375,0.50375,0.35,0.98,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,160.30892337642206,0.0,160.30892337642206,-1.3986279689017553,1.331100563106702e-11,0.45298221077022327,1.0,-0.096854000575744,881324.58,0.0,0.0,1.0,0.465,1.0,1.0,0.46277565414027777,50
b0_chirp_correlated_3s_50uA,pattern_discrimination,0.0,chirp,correlated,3.0,50.0,160,1507.12,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.4775,0.96875,-0.49125,0.49125,0.35,0.96,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,115.2873357899145,0.0,115.2873357899145,-0.8835125870179117,1.331100563106702e-11,0.5777097536236343,1.0,-0.0938403730791105,667612.62,0.0,0.0,1.0,0.4775,1.0,1.0,0.45907892836010433,50
b0_gated_burst_shared_3s_50uA,pattern_discrimination,0.0,gated_burst,shared,3.0,50.0,160,1062.96,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.5,0.96875,-0.46875,0.46875,0.35,0.94,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,145.46083627117318,0.0,145.46083627117318,-1.2257107360196162,1.331100563106702e-11,0.4913493270323703,1.0,-0.10018049305925382,652355.78,0.0,0.0,1.0,0.5,1.0,1.0,0.4530997399796615,50
b-2_gated_burst_shared_3s_50uA,pattern_discrimination,-2.0,gated_burst,shared,3.0,50.0,160,1061.26,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.5,0.96875,-0.46875,0.46875,0.35,0.94,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,145.31514875658945,0.0,145.31514875658945,-1.2242343098661317,1.331100563106702e-11,0.49111785474075853,1.0,-0.0996310483585816,651944.4,0.0,0.0,1.0,0.5,1.0,1.0,0.4522475416606176,50
b-2_static_shared_3s_50uA,pattern_discrimination,-2.0,static,shared,3.0,50.0,160,1539.82,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.5,0.96875,-0.46875,0.46875,0.35,0.94,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,105.96486478777071,0.0,105.96486478777071,-0.786978903467293,1.331100563106702e-11,0.6119431970574475,1.0,-0.09536603898954393,702193.2,0.0,0.0,1.0,0.5,1.0,1.0,0.4590200257806282,50
b2_gated_burst_shared_3s_50uA,pattern_discrimination,2.0,gated_burst,shared,3.0,50.0,160,1088.92,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.50875,0.96875,-0.46,0.46,0.35,0.92,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,128.44758785804882,0.0,128.44758785804882,-1.0332190619349086,1.331100563106702e-11,0.5422700867186351,1.0,-0.10200360513354655,624340.66,0.0,0.0,1.0,0.50875,1.0,1.0,0.45200159012005314,50
b-2_epoch_pause_shared_3s_50uA,pattern_discrimination,-2.0,epoch_pause,shared,3.0,50.0,160,1145.42,0.0,0.9675,0.9675,60.0,17.32,17.32,1.0,0.58875,0.96875,-0.38,0.38,0.35,0.92,0.0,0.0,0.0,-0.9675,-0.96875,75.19305725974826,75.19305725974826,79.43386301891786,0.0,79.43386301891786,-0.5189922959177153,1.331100563106702e-11,0.7167856162755006,1.0,-0.08832410238666856,520163.16,0.0,0.0,1.0,0.58875,1.0,1.0,0.45731971741988675,50
