protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates,task_output_dir
b-2_chirp_shared_3s_50uA,conditioned_electrode_association,-2.0,chirp,shared,3.0,50.0,160,3716.3333333333335,0.0,1.0,1.0,60.0,1.0,0.875,1.0,-0.125,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,314.1679803303527,0.0,314.1679803303527,-5.014859126010095,1.8857508147599827e-11,0.1575789668516909,1.0,-0.0238253745372139,2189199.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_chirp_shared_3s_50uA,conditioned_electrode_association,0.0,chirp,shared,3.0,50.0,160,2567.3333333333335,0.0,1.0,1.0,60.0,1.0,0.875,1.0,-0.125,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,249.87507698441655,0.0,249.87507698441655,-3.832316559120288,1.8857508147599827e-11,0.2109306047224955,1.0,-0.0628461642292122,1413349.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_chirp_correlated_3s_50uA,conditioned_electrode_association,-2.0,chirp,correlated,3.0,50.0,160,2179.3333333333335,0.0,1.0,1.0,60.0,1.0,0.875,1.0,-0.125,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,215.4360193891604,0.0,215.4360193891604,-3.2023242858331424,1.8857508147599827e-11,0.2486120384046184,1.0,-0.0750402671670232,1131788.6666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_epoch_pause_shared_3s_50uA,conditioned_electrode_association,-2.0,epoch_pause,shared,3.0,50.0,160,1142.0,0.0,1.0,1.0,60.0,1.0,0.875,1.0,-0.125,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,73.52902224160891,0.0,73.52902224160891,-0.778687241888723,1.8857508147599827e-11,0.6253772815693426,1.0,-0.1035702437657335,507319.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_chirp_correlated_3s_50uA,conditioned_electrode_association,0.0,chirp,correlated,3.0,50.0,160,1495.3333333333333,0.0,1.0,1.0,60.0,1.0,0.9166666666666666,1.0,-0.0833333333333333,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,106.2396588697708,0.0,106.2396588697708,-1.277650477163795,1.8857508147599827e-11,0.4799652335411563,1.0,-0.0911367239870711,647308.6666666666,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_chirp_correlated_3s_50uA,conditioned_electrode_association,2.0,chirp,correlated,3.0,50.0,160,986.3333333333334,0.0,1.0,1.0,60.0,1.0,0.9166666666666666,1.0,-0.0833333333333333,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,61.94025738176367,0.0,61.94025738176367,-0.5954099949091368,1.8857508147599827e-11,0.6819534522384321,1.0,-0.0891817446735815,381790.3333333333,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_chirp_shared_3s_50uA,conditioned_electrode_association,2.0,chirp,shared,3.0,50.0,160,1738.0,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,156.34024956887515,0.0,156.34024956887515,-2.143564414870806,1.8857508147599827e-11,0.3511245139497267,1.0,-0.1129162153063057,867833.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_static_shared_3s_50uA,conditioned_electrode_association,0.0,static,shared,3.0,50.0,160,1002.6666666666666,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,50.92052888390345,0.0,50.92052888390345,-0.4405153611961148,1.8857508147599827e-11,0.7466080515261554,1.0,-0.0710694206527194,338933.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b-2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,-2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.4151443755823072,1.8857508147599827e-11,0.7616382521004352,1.0,-0.077465273182915,330663.6666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b0_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,0.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.4151443755823072,1.8857508147599827e-11,0.7616382521004352,1.0,-0.077465273182915,330663.6666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_alternating_blue_red_shared_3s_50uA,conditioned_electrode_association,2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,48.812719086950814,0.0,48.812719086950814,-0.4151443755823072,1.8857508147599827e-11,0.7616382521004352,1.0,-0.077465273182915,330663.6666666667,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
b2_static_shared_3s_50uA,conditioned_electrode_association,2.0,static,shared,3.0,50.0,160,689.3333333333334,0.0,1.0,1.0,60.0,1.0,0.9583333333333334,1.0,-0.0416666666666666,0.0,-1.0,-1.0,53.061915580420816,53.061915580420816,38.918529463859294,0.0,38.918529463859294,-0.2893599760068016,1.8857508147599827e-11,0.8242465031212781,1.0,-0.0621602772940989,245978.0,0.0,3,experiments/snn_reset/results/snn_reset_validated_grid_20260606T043336Z/conditioned_electrode_association
