task_name,seed,protocol_id,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_positive_response_probability,naive_weight_control_negative_response_probability,training_repetitions,training_reached_criterion,training_stop_at_criterion,training_history,training_elapsed_s,consolidation_rest_s,consolidation_neuron_spikes,reset_score,no_reset_score,reset_minus_no_reset_score,reset_positive_response_probability,no_reset_positive_response_probability,reset_negative_response_probability,no_reset_negative_response_probability,trained_delta_norm,naive_weight_control_displacement_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_reset,reset_window_neuron_spikes_no_reset,reset_window_neuron_spikes_delta,baseline_positive_response_probability,baseline_negative_response_probability,baseline_positive_target_spikes_per_trial,baseline_negative_target_spikes_per_trial,baseline_input_response_probability,baseline_input_target_spikes_per_trial,baseline_input_total_spikes_per_trial,baseline_input_mean_first_latency_ms,baseline_sham_response_probability,baseline_sham_target_spikes_per_trial,baseline_sham_total_spikes_per_trial,baseline_sham_mean_first_latency_ms,trained_positive_response_probability,trained_negative_response_probability,trained_positive_target_spikes_per_trial,trained_negative_target_spikes_per_trial,trained_input_response_probability,trained_input_target_spikes_per_trial,trained_input_total_spikes_per_trial,trained_input_mean_first_latency_ms,trained_sham_response_probability,trained_sham_target_spikes_per_trial,trained_sham_total_spikes_per_trial,trained_sham_mean_first_latency_ms,reset_positive_target_spikes_per_trial,reset_negative_target_spikes_per_trial,reset_input_response_probability,reset_input_target_spikes_per_trial,reset_input_total_spikes_per_trial,reset_input_mean_first_latency_ms,reset_sham_response_probability,reset_sham_target_spikes_per_trial,reset_sham_total_spikes_per_trial,reset_sham_mean_first_latency_ms,no_reset_positive_target_spikes_per_trial,no_reset_negative_target_spikes_per_trial,no_reset_input_response_probability,no_reset_input_target_spikes_per_trial,no_reset_input_total_spikes_per_trial,no_reset_input_mean_first_latency_ms,no_reset_sham_response_probability,no_reset_sham_target_spikes_per_trial,no_reset_sham_total_spikes_per_trial,no_reset_sham_mean_first_latency_ms,naive_weight_control_positive_target_spikes_per_trial,naive_weight_control_negative_target_spikes_per_trial,naive_weight_control_input_response_probability,naive_weight_control_input_target_spikes_per_trial,naive_weight_control_input_total_spikes_per_trial,naive_weight_control_input_mean_first_latency_ms,naive_weight_control_sham_response_probability,naive_weight_control_sham_target_spikes_per_trial,naive_weight_control_sham_total_spikes_per_trial,naive_weight_control_sham_mean_first_latency_ms,job_elapsed_s
evoked_channel_response,1,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,565,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6522362920222804,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,94.0,0.0,1.0,94.0,116.25,0.0,0.0,0.0,0.0,,1.0,0.0,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,94.0,0.0,1.0,94.0,117.0,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.875,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,1.1859148750081658
evoked_channel_response,3,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,546,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6516973340185359,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,88.5,0.0,1.0,88.5,122.125,0.0,0.0,0.0,0.0,,1.0,0.0,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,88.875,0.0,1.0,88.875,122.25,0.0,0.0,0.0,0.0,,88.875,0.0,1.0,88.875,122.25,0.0,0.0,0.0,0.0,,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,1.1907240829896182
evoked_channel_response,4,b-2_alternating_blue_red_correlated_3s_10uA,-2.0,alternating_blue_red,correlated,3.0,10.0,160,550,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6542681670398451,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,113.25,0.0,1.0,113.25,136.125,0.0,0.0,0.0,0.0,,1.0,0.0,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,113.5,0.0,1.0,113.5,136.5,0.0,0.0,0.0,0.0,,113.375,0.0,1.0,113.375,136.0,0.0,0.0,0.0,0.0,,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,1.1944566249730997
evoked_channel_response,1,b-2_alternating_blue_red_correlated_3s_50uA,-2.0,alternating_blue_red,correlated,3.0,50.0,160,565,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6522362920222804,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,32.73301424847548,0.0,32.73301424847548,-32733014247.475475,1.0,0.0,0.0,0.0,148085,0,148085,1.0,0.0,94.0,0.0,1.0,94.0,116.25,0.0,0.0,0.0,0.0,,1.0,0.0,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,94.375,0.0,1.0,94.375,122.5,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.875,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,4.197560583008453
evoked_channel_response,3,b-2_alternating_blue_red_correlated_3s_50uA,-2.0,alternating_blue_red,correlated,3.0,50.0,160,546,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6516973340185359,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,29.70470505315792,0.0,29.70470505315792,-29704705052.157917,1.0,0.0,0.0,0.0,132527,0,132527,1.0,0.0,88.5,0.0,1.0,88.5,122.125,0.0,0.0,0.0,0.0,,1.0,0.0,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,92.25,0.0,1.0,92.25,143.0,0.0,0.0,0.0,0.0,,88.875,0.0,1.0,88.875,122.25,0.0,0.0,0.0,0.0,,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,3.902542000054382
evoked_channel_response,4,b-2_alternating_blue_red_correlated_3s_50uA,-2.0,alternating_blue_red,correlated,3.0,50.0,160,550,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6542681670398451,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.33539575384131,0.0,31.33539575384131,-31335395752.84131,1.0,0.0,0.0,0.0,151148,0,151148,1.0,0.0,113.25,0.0,1.0,113.25,136.125,0.0,0.0,0.0,0.0,,1.0,0.0,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,113.5,0.0,1.0,113.5,138.375,0.0,0.0,0.0,0.0,,113.375,0.0,1.0,113.375,136.0,0.0,0.0,0.0,0.0,,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,4.227264916989952
evoked_channel_response,1,b-2_alternating_blue_red_shared_3s_10uA,-2.0,alternating_blue_red,shared,3.0,10.0,160,924,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6522362920222804,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,94.0,0.0,1.0,94.0,116.25,0.0,0.0,0.0,0.0,,1.0,0.0,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,94.125,0.0,1.0,94.125,117.75,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.875,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,1.1888552919845097
evoked_channel_response,3,b-2_alternating_blue_red_shared_3s_10uA,-2.0,alternating_blue_red,shared,3.0,10.0,160,939,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6516973340185359,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.14371759218902272,0.0,0.14371759218902272,-143717591.18902272,1.0,0.0,0.0,0.0,53,0,53,1.0,0.0,88.5,0.0,1.0,88.5,122.125,0.0,0.0,0.0,0.0,,1.0,0.0,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,89.625,0.0,1.0,89.625,134.125,0.0,0.0,0.0,0.0,,88.875,0.0,1.0,88.875,122.25,0.0,0.0,0.0,0.0,,88.625,0.0,1.0,88.625,122.25,0.0,0.0,0.0,0.0,,1.1884228749549948
evoked_channel_response,4,b-2_alternating_blue_red_shared_3s_10uA,-2.0,alternating_blue_red,shared,3.0,10.0,160,893,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6542681670398451,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,113.25,0.0,1.0,113.25,136.125,0.0,0.0,0.0,0.0,,1.0,0.0,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,113.5,0.0,1.0,113.5,136.5,0.0,0.0,0.0,0.0,,113.375,0.0,1.0,113.375,136.0,0.0,0.0,0.0,0.0,,113.0,0.0,1.0,113.0,135.0,0.0,0.0,0.0,0.0,,1.1857808330096304
evoked_channel_response,1,b-2_alternating_blue_red_shared_3s_50uA,-2.0,alternating_blue_red,shared,3.0,50.0,160,924,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,True,False,1,0.6522362920222804,1.0,0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,45.72435346338444,0.0,45.72435346338444,-45724353462.38444,1.0,0.0,0.0,0.0,333802,0,333802,1.0,0.0,94.0,0.0,1.0,94.0,116.25,0.0,0.0,0.0,0.0,,1.0,0.0,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,94.75,0.0,1.0,94.75,119.5,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.875,0.0,0.0,0.0,0.0,,93.875,0.0,1.0,93.875,116.25,0.0,0.0,0.0,0.0,,6.460808374977205
