protocol_id,task_name,beta,schedule,spatial_mode,duration_s,current_uA,pulse_width_us,total_pulses,baseline_score,trained_score,training_score_delta,training_repetitions,training_reached_criterion,reset_score,no_reset_score,reset_minus_no_reset_score,naive_weight_control_score,naive_weight_control_minus_trained_score,naive_weight_control_minus_no_reset_score,naive_weight_control_displacement_norm,trained_delta_norm,reset_post_minus_trained_norm,no_reset_post_minus_trained_norm,reset_minus_no_reset_weight_norm,weight_erasure_reset,weight_erasure_no_reset,residual_trace_correlation_reset,residual_trace_correlation_no_reset,erasure_projection_reset_vs_no_reset,reset_window_neuron_spikes_delta,consolidation_neuron_spikes,replicates
b-2_chirp_shared_3s_50uA,evoked_channel_response,-2.0,chirp,shared,3.0,50.0,160,3716.3333333333335,1.0,1.0,0.0,0.0,1.0,0.875,1.0,-0.125,1.0,0.0,0.0,0.0,0.0,317.2458438710585,0.0,317.2458438710585,-317245843870.05853,1.0,0.0,0.0,0.0,2162160.3333333335,0.0,3
b0_chirp_shared_3s_50uA,evoked_channel_response,0.0,chirp,shared,3.0,50.0,160,2567.3333333333335,1.0,1.0,0.0,0.0,1.0,0.9166666666666666,1.0,-0.08333333333333333,1.0,0.0,0.0,0.0,0.0,251.2056621639451,0.0,251.2056621639451,-251205662162.94507,1.0,0.0,0.0,0.0,1393704.0,0.0,3
b-2_chirp_correlated_3s_50uA,evoked_channel_response,-2.0,chirp,correlated,3.0,50.0,160,2179.3333333333335,1.0,1.0,0.0,0.0,1.0,0.9166666666666666,1.0,-0.08333333333333333,1.0,0.0,0.0,0.0,0.0,215.6029082800388,0.0,215.6029082800388,-215602908279.0388,1.0,0.0,0.0,0.0,1118843.0,0.0,3
b2_chirp_shared_3s_50uA,evoked_channel_response,2.0,chirp,shared,3.0,50.0,160,1738.0,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,152.78833342160007,0.0,152.78833342160007,-152788333420.60007,1.0,0.0,0.0,0.0,857323.3333333334,0.0,3
b0_chirp_correlated_3s_50uA,evoked_channel_response,0.0,chirp,correlated,3.0,50.0,160,1495.3333333333333,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,100.62247120329182,0.0,100.62247120329182,-100622471202.29182,1.0,0.0,0.0,0.0,640634.6666666666,0.0,3
b-2_epoch_pause_shared_3s_50uA,evoked_channel_response,-2.0,epoch_pause,shared,3.0,50.0,160,1142.0,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,67.08351579336828,0.0,67.08351579336828,-67083515792.368286,1.0,0.0,0.0,0.0,499462.6666666667,0.0,3
b2_chirp_correlated_3s_50uA,evoked_channel_response,2.0,chirp,correlated,3.0,50.0,160,986.3333333333334,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,57.55240409750047,0.0,57.55240409750047,-57552404096.500465,1.0,0.0,0.0,0.0,376959.3333333333,0.0,3
b0_static_shared_3s_50uA,evoked_channel_response,0.0,static,shared,3.0,50.0,160,1002.6666666666666,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,47.72862051460163,0.0,47.72862051460163,-47728620513.60162,1.0,0.0,0.0,0.0,332511.0,0.0,3
b-2_alternating_blue_red_shared_3s_50uA,evoked_channel_response,-2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,45.04218808547416,0.0,45.04218808547416,-45042188084.47416,1.0,0.0,0.0,0.0,324352.6666666667,0.0,3
b0_alternating_blue_red_shared_3s_50uA,evoked_channel_response,0.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,45.04218808547416,0.0,45.04218808547416,-45042188084.47416,1.0,0.0,0.0,0.0,324352.6666666667,0.0,3
b2_alternating_blue_red_shared_3s_50uA,evoked_channel_response,2.0,alternating_blue_red,shared,3.0,50.0,160,918.6666666666666,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,45.04218808547416,0.0,45.04218808547416,-45042188084.47416,1.0,0.0,0.0,0.0,324352.6666666667,0.0,3
b2_static_shared_3s_50uA,evoked_channel_response,2.0,static,shared,3.0,50.0,160,689.3333333333334,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,36.0058182198219,0.0,36.0058182198219,-36005818218.8219,1.0,0.0,0.0,0.0,242591.0,0.0,3
b0_epoch_pause_shared_3s_50uA,evoked_channel_response,0.0,epoch_pause,shared,3.0,50.0,160,713.0,1.0,1.0,0.0,0.0,1.0,0.9583333333333334,1.0,-0.041666666666666664,1.0,0.0,0.0,0.0,0.0,35.62634747202736,0.0,35.62634747202736,-35626347471.02736,1.0,0.0,0.0,0.0,233768.33333333334,0.0,3
b0_gated_burst_shared_3s_50uA,evoked_channel_response,0.0,gated_burst,shared,3.0,50.0,160,1018.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,130.83656735415533,0.0,130.83656735415533,-130836567353.15533,1.0,0.0,0.0,0.0,608789.0,0.0,3
b-2_gated_burst_shared_3s_50uA,evoked_channel_response,-2.0,gated_burst,shared,3.0,50.0,160,1011.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,128.7752028392374,0.0,128.7752028392374,-128775202838.23743,1.0,0.0,0.0,0.0,613669.6666666666,0.0,3
b2_gated_burst_shared_3s_50uA,evoked_channel_response,2.0,gated_burst,shared,3.0,50.0,160,1073.6666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,116.04748116221651,0.0,116.04748116221651,-116047481161.21649,1.0,0.0,0.0,0.0,602604.0,0.0,3
b-2_static_shared_3s_50uA,evoked_channel_response,-2.0,static,shared,3.0,50.0,160,1513.6666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,86.79342532471969,0.0,86.79342532471969,-86793425323.71971,1.0,0.0,0.0,0.0,657261.3333333334,0.0,3
b2_gated_burst_correlated_3s_50uA,evoked_channel_response,2.0,gated_burst,correlated,3.0,50.0,160,637.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,59.6220317240875,0.0,59.6220317240875,-59622031723.087494,1.0,0.0,0.0,0.0,342995.0,0.0,3
b-2_gated_burst_correlated_3s_50uA,evoked_channel_response,-2.0,gated_burst,correlated,3.0,50.0,160,610.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.00293311300367,0.0,58.00293311300367,-58002933112.00366,1.0,0.0,0.0,0.0,327815.3333333333,0.0,3
b0_gated_burst_correlated_3s_50uA,evoked_channel_response,0.0,gated_burst,correlated,3.0,50.0,160,569.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,49.19638171343177,0.0,49.19638171343177,-49196381712.43176,1.0,0.0,0.0,0.0,295355.6666666667,0.0,3
b-2_static_correlated_3s_50uA,evoked_channel_response,-2.0,static,correlated,3.0,50.0,160,894.3333333333334,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,46.737242207719184,0.0,46.737242207719184,-46737242206.71918,1.0,0.0,0.0,0.0,263774.6666666667,0.0,3
b-2_epoch_pause_correlated_3s_50uA,evoked_channel_response,-2.0,epoch_pause,correlated,3.0,50.0,160,614.6666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,33.16867581363796,0.0,33.16867581363796,-33168675812.63796,1.0,0.0,0.0,0.0,167854.33333333334,0.0,3
